block_id,length,default_speed_limit,accelerate_rate,decelerate_rate
136,5767.534402365705,70,1.1,1.1
137,6087.195076282953,70,1.1,1.1
138,8929.885499048469,70,1.1,1.1
139,10295.833312934394,70,1.1,1.1
140,8716.867240528807,70,1.1,1.1
141,6593.475907609162,70,1.1,1.1
142,9050.205294149066,70,1.1,1.1
143,6742.738366109632,70,1.1,1.1
144,6742.738366109632,70,1.1,1.1
145,9050.205294149062,70,1.1,1.1
146,6593.475907609164,70,1.1,1.1
147,8716.867240528809,70,1.1,1.1
148,10295.833312934392,70,1.1,1.1
149,8929.885499048465,70,1.1,1.1
150,6087.195076282951,70,1.1,1.1
151,5767.534402365707,70,1.1,1.1
152,11820.742895021845,70,1.1,1.1
153,16784.068617529876,70,1.1,1.1
154,14490.054957195292,70,1.1,1.1
155,12655.6311265626,70,1.1,1.1
156,4837.474142736274,70,1.1,1.1
