trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
County Ride 1C_T01,14:46:00,14:50:00,13,17,1
County Ride 1C_T01,14:58:00,14:58:00,19,18,1
County Ride 1C_T01,15:07:00,15:07:00,11,19,1
County Ride 1C_T01,15:13:00,15:13:00,25,20,1
County Ride 1C_T01,15:17:00,15:17:00,17,21,1
County Ride 2B_T01,11:30:00,11:30:00,17,0,1
County Ride 2B_T01,,,25,1,1
County Ride 2B_T01,,,26,2,1
County Ride 2B_T01,11:36:00,11:36:00,11,3,1
County Ride 2B_T01,11:47:00,11:47:00,19,4,1
County Ride 2B_T01,11:55:00,12:00:00,13,5,1
County Ride 2B_T01,12:12:00,12:12:00,9,6,1
County Ride 2B_T01,12:16:00,12:16:00,1,7,1
County Ride 2B_T01,12:23:00,13:00:00,18,8,1
County Ride 2B_T01,13:02:00,13:02:00,23,9,1
County Ride 2B_T01,13:07:00,13:07:00,16,10,1
County Ride 2B_T01,13:11:00,13:11:00,12,11,1
County Ride 2B_T01,13:18:00,13:18:00,18,12,1
County Ride 2B_T01,13:20:00,13:20:00,23,13,1
County Ride 2B_T01,13:26:00,13:26:00,1,14,1
County Ride 2B_T01,13:31:00,13:31:00,14,15,1
County Ride 2B_T01,13:35:00,13:35:00,9,16,1
County Ride 2B_T01,13:46:00,13:50:00,13,17,1
County Ride 2B_T01,13:58:00,13:58:00,19,18,1
County Ride 2B_T01,14:07:00,14:07:00,11,19,1
County Ride 2B_T01,,,25,20,1
County Ride 2B_T01,14:17:00,14:17:00,17,21,1
County Ride 2C_T01,14:30:00,14:30:00,17,0,1
County Ride 2C_T01,,,25,1,1
County Ride 2C_T01,,,26,2,1
County Ride 2C_T01,14:36:00,14:36:00,11,3,1
County Ride 2C_T01,14:47:00,14:47:00,19,4,1
County Ride 2C_T01,14:55:00,15:00:00,13,5,1
County Ride 2C_T01,15:12:00,15:12:00,9,6,1
County Ride 2C_T01,15:16:00,15:16:00,1,7,1
County Ride 2C_T01,15:23:00,15:30:00,18,8,1
County Ride 2C_T01,15:32:00,15:32:00,23,9,1
County Ride 2C_T01,15:37:00,15:37:00,16,10,1
County Ride 2C_T01,15:41:00,15:41:00,12,11,1
County Ride 2C_T01,15:48:00,15:48:00,18,12,1
County Ride 2C_T01,15:50:00,15:50:00,23,13,1
County Ride 2C_T01,15:56:00,15:56:00,1,14,1
County Ride 2C_T01,16:01:00,16:01:00,14,15,1
County Ride 2C_T01,16:05:00,16:05:00,9,16,1
County Ride 2C_T01,16:16:00,16:20:00,13,17,1
County Ride 2C_T01,16:28:00,16:28:00,19,18,1
County Ride 2C_T01,16:37:00,16:37:00,11,19,1
County Ride 2C_T01,16:43:00,16:43:00,25,20,1
County Ride 2C_T01,16:47:00,16:47:00,17,21,1
County Ride 2A_T01,09:00:00,09:00:00,17,0,1
County Ride 2A_T01,,,25,1,1
County Ride 2A_T01,,,26,2,1
County Ride 2A_T01,09:06:00,09:06:00,11,3,1
County Ride 2A_T01,09:17:00,09:17:00,19,4,1
County Ride 2A_T01,09:24:00,09:24:00,5,5,1
County Ride 2A_T01,09:25:00,09:30:00,13,6,1
County Ride 2A_T01,09:42:00,09:42:00,9,7,1
County Ride 2A_T01,09:46:00,09:46:00,1,8,1
County Ride 2A_T01,09:53:00,10:00:00,18,9,1
County Ride 2A_T01,10:02:00,10:02:00,23,10,1
County Ride 2A_T01,10:07:00,10:07:00,16,11,1
County Ride 2A_T01,10:11:00,10:11:00,12,12,1
County Ride 2A_T01,10:18:00,10:18:00,18,13,1
County Ride 2A_T01,10:20:00,10:20:00,23,14,1
County Ride 2A_T01,10:26:00,10:26:00,1,15,1
County Ride 2A_T01,10:31:00,10:31:00,14,16,1
County Ride 2A_T01,10:35:00,10:35:00,9,17,1
County Ride 2A_T01,10:46:00,10:50:00,13,18,1
County Ride 2A_T01,10:58:00,10:58:00,19,19,1
County Ride 2A_T01,11:07:00,11:07:00,11,20,1
County Ride 2A_T01,11:13:00,11:13:00,25,21,1
County Ride 2A_T01,11:17:00,11:17:00,17,22,1
Annapolis AM1_T01,06:15:00,06:15:00,17,0,1
Annapolis AM1_T01,06:30:00,06:30:00,19,1,1
Annapolis AM1_T01,06:45:00,06:45:00,22,2,1
Annapolis AM1_T01,07:10:00,07:10:00,6,3,1
Annapolis AM1_T01,07:55:00,07:55:00,22,4,1
Annapolis AM1_T01,08:00:00,08:00:00,16,5,1
Annapolis AM1_T01,08:05:00,08:05:00,9,6,1
Annapolis AM1_T01,08:20:00,08:20:00,13,7,1
Annapolis AM1_T01,08:28:00,08:28:00,19,8,1
Annapolis AM1_T01,08:48:00,08:48:00,17,9,1
Annapolis AM2_T01,09:00:00,09:00:00,17,0,1
Annapolis AM2_T01,09:20:00,09:20:00,13,1,1
Annapolis AM2_T01,09:35:00,09:35:00,18,2,1
Annapolis AM2_T01,09:40:00,09:40:00,22,3,1
Annapolis AM2_T01,10:05:00,10:05:00,21,4,1
Annapolis AM2_T01,10:10:00,10:20:00,2,5,1
Annapolis AM2_T01,10:45:00,10:45:00,22,6,1
Annapolis AM2_T01,10:50:00,10:50:00,18,7,1
Annapolis AM2_T01,11:05:00,11:05:00,9,8,1
Annapolis AM2_T01,11:25:00,11:25:00,13,9,1
Annapolis AM2_T01,11:33:00,11:33:00,19,10,1
Annapolis AM2_T01,11:45:00,11:45:00,17,11,1
Annapolis PM1_T01,12:40:00,12:40:00,17,0,1
Annapolis PM1_T01,13:00:00,13:00:00,13,1,1
Annapolis PM1_T01,13:15:00,13:15:00,18,2,1
Annapolis PM1_T01,13:20:00,13:20:00,22,3,1
Annapolis PM1_T01,13:45:00,13:55:00,21,4,1
Annapolis PM1_T01,14:00:00,14:02:00,2,5,1
Annapolis PM1_T01,14:25:00,14:25:00,22,6,1
Annapolis PM1_T01,14:30:00,14:30:00,18,7,1
Annapolis PM1_T01,14:55:00,14:55:00,13,8,1
Annapolis PM1_T01,15:03:00,15:03:00,19,9,1
Annapolis PM1_T01,15:15:00,15:15:00,17,10,1
Annapolis PM2_T01,15:25:00,15:25:00,17,0,1
Annapolis PM2_T01,15:55:00,15:55:00,22,1,1
Annapolis PM2_T01,16:20:00,16:20:00,6,2,1
Annapolis PM2_T01,16:45:00,16:45:00,22,3,1
Annapolis PM2_T01,17:05:00,17:05:00,9,4,1
Annapolis PM2_T01,17:25:00,17:25:00,13,5,1
Annapolis PM2_T01,17:33:00,17:33:00,19,6,1
Annapolis PM2_T01,17:45:00,17:45:00,17,7,1
