GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
0500000US24021,24021,"Frederick County, Maryland",125669,1036,2782,516,18943,1200,51115,1702,32382,1456,12980,927,7467,803,67402,675,1441,305,9007,835,27951,970,17461,909,7278,578,4264,551,58267,810,1341,286,9936,645,23164,936,14921,689,5702,484,3203,392
0500000US24023,24023,"Garrett County, Maryland",13764,448,406,151,2312,366,5373,525,3506,393,1368,393,799,297,7402,251,206,82,1153,234,2973,314,1913,262,705,201,452,180,6362,338,200,85,1159,202,2400,288,1593,217,663,210,347,152
0500000US24025,24025,"Harford County, Maryland",126773,1361,1992,320,19228,1183,54318,1633,30550,1513,13391,1283,7294,927,66070,760,1016,224,8269,705,29253,906,16100,943,7191,744,4241,560,60703,966,976,211,10959,720,25065,958,14450,767,6200,652,3053,450
0500000US24027,24027,"Howard County, Maryland",164092,1200,2575,498,24498,1293,75993,1876,38819,1655,16130,1221,6077,915,86017,969,1132,306,10729,784,41351,1193,20812,1000,8805,720,3188,551,78075,877,1443,279,13769,828,34642,1035,18007,927,7325,640,2889,453
0500000US24029,24029,"Kent County, Maryland",8408,347,677,238,1852,340,2975,303,1668,313,870,251,366,162,4337,242,156,86,927,223,1640,203,924,172,489,144,201,105,4071,252,521,215,925,185,1335,176,744,196,381,130,165,87
0500000US24031,24031,"Montgomery County, Maryland",536865,2536,20320,1422,124040,3086,233337,3567,102967,2653,41124,2012,15077,1318,278587,1740,9730,903,57096,1687,124692,2111,56289,1740,22387,1228,8393,740,258278,1639,10590,839,66944,1921,108645,2052,46678,1436,18737,1038,6684,707
0500000US24033,24033,"Prince George's County, Maryland",458666,2375,24903,1316,119470,2344,161899,3305,92493,2892,39267,1968,20634,1842,228279,1704,12050,806,51645,1442,82799,2133,49191,1858,21304,1217,11290,1060,230387,1698,12853,772,67825,1598,79100,1713,43302,1466,17963,1028,9344,973
0500000US24035,24035,"Queen Anne's County, Maryland",25046,526,228,121,3040,353,9626,653,6481,681,3364,615,2307,577,13087,334,130,81,1301,196,5141,359,3425,416,1869,342,1221,286,11959,402,98,54,1739,268,4485,393,3056,337,1495,320,1086,342
0500000US24037,24037,"St. Mary's County, Maryland",54403,1024,1208,276,7843,885,21462,1248,13244,1149,6376,775,4270,688,29879,607,585,178,3957,532,12044,765,7403,591,3478,428,2412,440,24524,709,623,174,3886,559,9418,682,5841,661,2898,443,1858,331
0500000US24039,24039,"Somerset County, Maryland",7568,1273,344,164,2005,469,2857,552,1497,397,601,190,264,153,3640,1189,199,142,855,441,1429,441,726,252,317,123,114,93,3928,362,145,69,1150,246,1428,261,771,218,284,85,150,73
0500000US24041,24041,"Talbot County, Maryland",17383,516,532,269,3306,405,7291,574,3874,452,1699,330,681,273,8771,291,325,175,1329,245,3736,326,2197,289,766,181,418,176,8612,358,207,120,1977,254,3555,338,1677,227,933,196,263,129
0500000US24043,24043,"Washington County, Maryland",65684,962,2131,366,12781,814,25271,1210,15934,1099,6706,736,2861,543,33972,699,1018,218,5757,530,13398,733,8548,637,3563,426,1688,320,31712,645,1113,226,7024,480,11873,678,7386,592,3143,384,1173,273
0500000US24045,24045,"Wicomico County, Maryland",47156,1059,1562,329,10372,808,18744,1228,10892,967,4097,786,1489,473,23066,734,768,221,4408,468,9549,750,5750,562,1845,381,746,248,24090,672,794,236,5964,489,9195,681,5142,604,2252,530,743,267
0500000US24047,24047,"Worcester County, Maryland",23334,684,829,228,5043,563,9143,715,5409,598,2234,471,676,262,11968,421,369,116,2332,368,4821,434,2802,360,1235,318,409,177,11366,452,460,165,2711,346,4322,408,2607,305,999,206,267,121
0500000US24510,24510,"Baltimore city, Maryland",267765,2430,42379,1500,96819,2293,92163,2335,27228,1468,6803,789,2373,727,125981,1811,18499,1058,42206,1288,46314,1322,13914,896,3701,549,1347,433,141784,1703,23880,1069,54613,1589,45849,1388,13314,931,3102,418,1026,372
