GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
0500000US24029,24029,"Kent County, Maryland",7683,302,2623,234,2951,289,1691,193,418,111,2592,314,1461,235,1131,239,3119,220,1087,162,1176,161,856,136,854,154,32,26,232,96,442,113,148,70,1118,169,43,34,412,128,393,111,270,80
0500000US24031,24031,"Montgomery County, Maryland",367764,1242,65807,1130,139731,1934,127896,1710,34330,982,91530,1658,36050,1094,55480,1249,112451,1597,23589,717,38049,1278,50813,1332,65823,1499,3511,432,20315,973,31609,1022,10388,585,97960,1209,2657,398,25887,1010,45474,1233,23942,927
0500000US24033,24033,"Prince George's County, Maryland",306711,1131,54234,1193,128675,1880,89555,1357,34247,990,87037,1620,30151,914,56886,1609,85786,1280,16899,665,34779,1056,34108,982,53747,1301,4112,365,18557,743,23025,829,8053,622,80141,1193,3072,337,18453,711,32422,952,26194,792
0500000US24035,24035,"Queen Anne's County, Maryland",17785,380,4091,307,5859,395,6036,353,1799,256,3828,319,1836,242,1992,266,6879,364,1900,229,2191,235,2788,267,2844,250,222,69,702,143,1239,211,681,153,4234,303,133,71,974,163,2009,240,1118,233
0500000US24037,24037,"St. Mary's County, Maryland",38978,514,7469,402,15244,685,13225,614,3040,407,8864,501,3733,349,5131,421,13080,644,3064,308,4535,485,5481,477,6828,505,364,130,2479,338,3132,344,853,211,10206,476,308,132,3099,377,4612,417,2187,342
0500000US24039,24039,"Somerset County, Maryland",8328,838,3127,256,3254,485,1582,331,365,137,2651,349,1515,225,1136,267,2938,435,1119,224,1090,203,729,202,1474,318,356,177,502,167,397,128,219,115,1265,222,137,63,526,150,456,132,146,60
0500000US24041,24041,"Talbot County, Maryland",16481,383,5482,303,6012,381,4187,293,800,143,4576,341,2642,255,1934,264,7424,374,2494,234,2777,320,2153,240,2001,250,240,96,623,165,865,165,273,86,2480,251,106,85,678,129,1169,185,527,113
0500000US24043,24043,"Washington County, Maryland",56094,641,15846,621,20528,802,15772,696,3948,352,15175,555,8144,470,7031,548,19125,661,5856,388,6810,466,6459,452,8993,570,1062,225,2733,331,3972,433,1226,204,12801,553,784,232,3954,393,5341,420,2722,302
0500000US24045,24045,"Wicomico County, Maryland",37170,603,9215,575,14261,722,11499,682,2195,342,9557,609,4647,407,4910,488,13171,656,3283,331,4963,448,4925,525,6238,502,585,205,1966,324,2967,369,720,195,8204,556,700,239,2422,322,3607,340,1475,285
0500000US24047,24047,"Worcester County, Maryland",21010,578,7563,390,7250,448,5079,351,1118,187,6378,460,3719,287,2659,303,8993,391,3438,263,2907,258,2648,254,2790,295,305,104,884,189,1225,216,376,105,2849,239,101,62,800,156,1206,188,742,156
0500000US24510,24510,"Baltimore city, Maryland",242416,1560,77061,1397,99582,1599,54055,1330,11718,607,94454,1272,46080,1044,48374,1174,71091,1324,18546,748,25060,834,27485,1052,35681,1057,6899,585,12512,637,11928,765,4342,365,41190,1137,5536,480,13636,779,14642,725,7376,503
