GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
0500000US24021,24021,"Frederick County, Maryland",243465,*****,120072,85,7362,11,7853,384,9205,384,5475,10,3460,114,1509,248,1559,238,4504,302,7332,25,7497,26,6942,454,8898,450,9438,24,9939,31,8454,366,2843,316,3963,324,2392,253,3072,220,3311,270,2314,186,1371,170,1379,165,123393,85,7116,49,7534,410,8661,410,5220,21,2990,103,1481,229,1208,184,4765,254,7223,42,7754,25,7540,382,8770,383,9759,29,10095,31,9027,390,2875,291,3915,305,2662,241,3083,254,3831,314,2871,287,2103,234,2910,270
0500000US24023,24023,"Garrett County, Maryland",29677,*****,14701,94,704,20,818,101,870,100,657,42,449,67,211,77,160,64,535,90,780,20,762,34,812,105,872,92,999,7,1126,26,1003,145,528,102,677,117,485,105,469,81,758,110,553,89,259,73,214,69,14976,94,724,38,840,91,782,99,514,5,301,20,209,84,187,72,466,89,738,16,780,29,767,113,1014,128,982,7,1182,26,1272,126,318,83,695,121,387,89,515,108,843,123,628,113,345,89,487,113
0500000US24025,24025,"Harford County, Maryland",249776,*****,122076,67,7154,50,7920,449,8892,457,5491,32,3168,51,1653,239,1519,300,4594,328,7689,43,7601,40,7189,397,7754,401,9103,26,10039,26,8885,412,3299,308,4219,322,2418,242,3666,267,4048,343,2637,238,1841,220,1297,200,127700,67,6860,45,7888,530,8002,525,5289,30,2693,85,1362,269,1743,268,4420,273,7408,2,7781,46,7465,467,8597,467,9731,24,10465,24,9551,369,3013,282,5004,343,2700,302,3992,299,5016,370,3189,279,2529,272,3002,292
0500000US24027,24027,"Howard County, Maryland",308447,*****,151100,63,9414,22,11196,510,11240,513,7287,19,3913,11,1770,307,1522,233,5743,369,9226,63,9720,60,9521,567,10946,571,11550,26,12208,67,10508,395,3636,345,4858,348,2626,262,3929,330,4385,322,2537,236,1702,233,1663,248,157347,63,8998,46,9753,492,11518,493,6883,19,3485,16,1394,307,1311,255,5685,381,8983,32,10435,44,10947,456,11755,454,12623,22,12913,25,11157,455,3828,348,4852,337,3510,306,3827,296,5103,324,3230,307,2551,287,2606,306
0500000US24029,24029,"Kent County, Maryland",19819,*****,9539,156,512,99,427,94,512,127,285,21,393,39,269,101,107,64,474,112,483,55,512,88,486,103,360,101,562,78,641,61,669,95,240,82,429,68,293,83,431,101,550,95,357,85,357,87,190,64,10280,156,380,76,468,86,447,127,252,21,538,117,189,62,253,78,385,120,519,82,553,98,446,96,322,78,590,84,711,4,904,108,257,82,430,92,354,104,320,74,723,107,333,93,399,94,507,92
0500000US24031,24031,"Montgomery County, Maryland",1026371,*****,494612,76,34300,53,34586,973,33650,976,20735,54,11735,40,5673,508,5242,437,18828,552,32424,92,34863,88,35556,875,33266,875,35292,88,36155,66,33775,731,12074,681,16334,611,9653,465,11816,538,14501,495,9932,412,7166,441,7056,384,531759,76,32499,54,32533,792,33477,806,19924,41,10897,20,4539,469,4829,481,18947,627,33634,59,36613,69,36415,888,37638,898,39249,56,40204,15,37074,787,14252,676,18472,737,10968,608,13718,539,17951,609,13478,637,10427,611,14021,591
0500000US24033,24033,"Prince George's County, Maryland",897693,*****,431752,127,30543,87,29192,739,27211,729,16779,51,14480,21,7429,514,7156,479,20244,694,34532,64,32496,66,29521,930,29932,921,30081,66,30496,81,26407,686,9758,638,13294,639,7868,415,9356,465,10404,449,7263,336,4123,289,3187,268,465941,127,29396,36,28174,826,26192,799,16242,4,13735,42,6365,424,6902,461,19768,519,33948,77,33388,119,32038,879,31005,875,34151,108,35328,113,31442,699,11621,645,17143,709,9594,503,11902,524,14602,548,9309,442,6896,379,6800,383
0500000US24035,24035,"Queen Anne's County, Maryland",48712,*****,24151,112,1307,69,1443,189,1778,198,1052,77,550,33,378,96,214,74,825,115,1195,65,1249,74,1150,185,1531,197,2020,99,2026,51,1978,187,563,129,954,145,602,103,876,135,1021,136,676,113,457,116,306,74,24561,112,1213,52,1652,174,1454,183,965,55,573,79,285,99,245,106,698,124,1138,70,1268,54,1335,165,1624,176,1859,42,2162,55,1988,164,694,154,930,137,513,103,1052,134,1165,142,554,130,514,122,680,124
0500000US24037,24037,"St. Mary's County, Maryland",110675,*****,55176,107,3692,50,3906,321,3948,324,2320,85,1468,172,709,213,798,183,2416,274,3932,142,3704,149,3750,378,3321,349,4112,111,4418,90,3929,228,1264,230,1340,203,1021,181,1184,168,1595,173,954,154,805,154,590,131,55499,107,3530,4,3813,338,3982,343,2392,89,1466,153,775,188,1079,249,1874,245,3837,99,3666,56,3301,374,3774,374,4213,74,4307,40,3619,285,1336,229,1654,245,921,165,1407,183,1696,197,1219,168,775,169,863,167
0500000US24039,24039,"Somerset County, Maryland",25899,*****,13936,153,555,111,623,149,648,150,328,49,562,177,368,127,376,126,1015,172,1297,297,976,141,1071,166,714,187,945,44,959,19,899,124,295,97,455,87,292,63,484,105,388,77,371,72,212,88,103,44,11963,153,689,122,411,114,722,122,388,76,805,177,307,103,596,253,547,186,523,158,555,9,657,129,496,99,649,19,822,41,861,103,331,102,464,114,258,71,330,82,549,91,279,81,316,94,408,101
0500000US24041,24041,"Talbot County, Maryland",37668,*****,17733,149,769,105,1027,131,1015,122,663,93,343,77,131,68,114,57,635,155,852,107,748,142,704,156,1175,180,1116,119,1374,82,1316,136,377,76,852,123,558,117,653,132,1338,143,828,109,543,110,602,112,19935,149,981,105,882,149,1127,144,579,59,349,79,37,31,266,130,612,111,860,100,953,112,1022,151,1031,178,1192,88,1418,38,1670,152,543,107,995,130,574,130,948,136,1406,156,869,110,742,127,879,140
0500000US24043,24043,"Washington County, Maryland",149571,*****,76043,71,4425,18,4887,362,4712,359,2926,68,1735,52,957,235,1103,175,3158,273,5376,76,5041,29,4433,334,5781,334,5824,40,5778,39,5187,279,2155,219,2313,228,1507,212,2085,181,2515,205,1733,148,1447,155,965,143,73528,71,4325,9,4513,316,4604,319,2995,73,1407,70,743,194,757,208,2600,279,4528,64,4291,20,4026,330,4944,334,5375,55,5495,59,4738,311,2006,232,2829,284,1858,243,2198,248,2863,227,2469,238,1712,222,2252,267
0500000US24045,24045,"Wicomico County, Maryland",101527,*****,48364,83,3169,66,3094,274,3183,274,1880,41,2212,83,1085,337,1385,346,2530,420,3161,77,2800,62,2689,285,2727,273,3029,60,3147,41,3162,300,1169,210,1645,223,1161,191,1205,198,1539,182,918,146,913,160,561,126,53163,83,2983,55,3008,375,3137,375,1861,41,2800,102,1281,334,1585,326,2880,448,3099,141,2939,102,3141,294,2774,311,3133,72,3570,89,3487,257,1288,213,1977,216,1063,167,1496,204,1912,196,1501,188,1046,162,1202,202
0500000US24047,24047,"Worcester County, Maryland",51441,*****,24999,151,1174,99,1448,185,1203,172,839,66,537,91,263,98,286,138,820,163,1341,60,1175,50,1274,217,1218,219,1677,68,1917,50,2000,171,637,125,1212,186,783,122,1148,165,1554,174,1261,136,709,112,523,115,26442,151,1139,89,1207,171,1331,190,789,76,535,79,161,82,285,124,808,137,1285,50,1071,91,1159,169,1390,166,1841,73,2082,98,1955,204,985,156,1292,170,904,138,1286,127,1765,160,1248,142,956,140,968,135
0500000US24510,24510,"Baltimore city, Maryland",621000,*****,292168,148,20919,64,18588,709,16939,733,9881,104,8395,116,5049,504,5249,547,13612,672,29310,61,24876,47,19519,676,16425,682,18396,70,20101,71,19146,633,6734,414,8688,548,5150,383,5897,376,7653,447,5039,330,3614,262,2988,254,328832,148,20449,75,17979,732,16638,743,9785,4,9389,122,5600,496,5196,499,15311,651,32532,20,27488,109,20332,627,18448,638,19861,65,22469,124,20899,642,8588,462,11882,551,6812,487,7726,419,10476,483,7936,346,6488,414,6548,413
