GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US24021,24021,"Frederick County, Maryland",88995,500,64219,810,50628,831,24776,768,3.5,0.5,2.1,0.4,1.0,0.3,8.3,1.3,2.4,0.3,1.3,0.3,0.5,0.2,5.7,0.9,5.0,0.4,3.2,0.5,1.6,0.4,10.9,1.1,6.1,0.5,4.8,0.5,3.2,0.4,11.3,1.3,9.2,0.6,7.4,0.7,6.0,0.6,13.9,1.5,17.6,0.8,16.1,0.8,14.4,0.9,20.0,1.6,13.9,0.7,14.9,0.8,15.3,0.9,11.7,1.4,21.8,0.8,25.5,1.0,28.0,1.2,11.0,1.2,11.1,0.5,13.3,0.6,15.6,0.8,4.3,0.7,9.4,0.5,11.7,0.7,14.3,0.8,2.9,0.7,85715,1683,100640,2006,112068,2003,49779,2492,103005,1515,116052,1845,128566,2053,63720,2633,26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
0500000US24023,24023,"Garrett County, Maryland",11644,402,8177,327,6635,307,3467,279,7.7,1.4,2.9,1.0,0.7,0.5,19.2,3.6,5.4,1.0,2.8,0.9,1.5,0.6,11.6,2.6,13.0,1.6,8.6,1.7,6.6,1.7,24.7,3.8,11.8,1.8,10.5,2.2,10.9,2.3,14.7,3.1,16.2,1.9,19.1,2.6,18.3,2.5,10.6,2.6,17.5,1.9,20.8,2.4,21.7,2.6,9.8,2.4,11.6,1.5,14.4,2.1,15.8,2.3,3.8,1.7,11.5,1.5,14.4,1.9,16.8,2.4,3.8,1.9,2.6,0.7,3.5,1.0,4.2,1.3,0.7,0.8,2.6,0.8,3.1,1.0,3.6,1.2,1.0,0.9,46277,1567,56782,2828,62398,2844,22177,1824,61003,2951,71330,3549,78269,4186,33802,3709,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
0500000US24025,24025,"Harford County, Maryland",92497,675,66516,879,52123,964,25981,927,4.5,0.6,2.7,0.5,1.0,0.3,10.1,1.4,2.9,0.4,1.8,0.4,0.9,0.3,6.2,0.9,5.9,0.6,3.0,0.5,1.9,0.5,13.7,1.5,6.3,0.6,5.1,0.7,3.5,0.5,10.0,1.2,9.5,0.7,7.9,0.6,6.6,0.7,14.4,1.4,17.0,0.8,16.5,0.8,14.8,0.8,19.4,1.8,14.9,0.7,15.6,0.8,16.6,1.0,12.3,1.4,21.3,0.8,25.2,1.0,28.1,1.0,9.6,1.2,9.9,0.5,12.2,0.8,14.6,0.9,2.7,0.7,7.7,0.5,9.9,0.7,12.1,0.8,1.6,0.4,81052,1488,95437,2135,106325,2107,45367,2175,96509,1697,109597,2132,121965,2246,58123,2166,32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X)
0500000US24027,24027,"Howard County, Maryland",109872,683,82123,820,66499,908,27749,760,2.3,0.3,1.4,0.3,0.7,0.2,4.9,1.0,1.9,0.3,1.2,0.4,0.4,0.2,4.0,0.9,3.5,0.4,1.8,0.3,1.4,0.3,8.8,1.4,3.8,0.5,3.0,0.5,1.8,0.4,6.6,1.2,5.8,0.5,4.7,0.5,3.2,0.5,9.4,1.3,12.8,0.8,10.5,0.7,8.1,0.7,21.2,2.0,12.7,0.7,11.8,0.8,10.4,0.8,15.3,1.4,23.1,0.9,24.1,1.0,25.3,1.1,19.2,1.9,14.8,0.6,17.7,0.7,20.1,0.8,6.1,0.9,19.4,0.6,23.9,0.8,28.6,0.9,4.4,0.8,113800,1574,131695,2318,146853,2500,69918,3185,137054,2108,154460,2559,171025,2918,81310,2889,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
0500000US24029,24029,"Kent County, Maryland",7683,302,4654,239,3646,201,3029,304,5.6,1.6,3.9,1.6,1.9,1.2,9.0,2.9,5.5,2.0,2.0,1.2,0.8,1.0,11.0,4.3,11.7,2.4,5.2,1.8,3.2,1.5,21.1,4.5,9.6,1.8,7.9,2.2,4.6,1.8,15.4,3.6,12.6,2.0,11.6,2.5,11.0,3.1,14.3,3.8,20.2,2.9,21.8,3.4,22.8,4.0,15.3,3.9,12.1,2.3,15.7,3.2,18.7,4.0,5.3,2.5,13.0,2.0,18.6,3.0,21.4,3.7,4.8,2.1,4.5,1.3,6.3,2.0,7.7,2.4,1.7,1.2,5.2,1.3,6.9,2.0,7.9,2.4,2.2,2.0,55028,3954,71220,5705,81215,4971,30252,2528,72729,4174,90214,6255,N,N,43864,4817,35.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X)
0500000US24031,24031,"Montgomery County, Maryland",367764,1242,256128,1909,198439,1940,111636,1753,3.5,0.2,2.0,0.2,0.7,0.1,7.7,0.5,1.9,0.2,1.2,0.2,0.7,0.1,4.0,0.4,4.2,0.2,3.0,0.2,1.6,0.2,7.9,0.5,5.1,0.3,4.5,0.3,3.0,0.2,7.5,0.5,8.4,0.3,6.9,0.4,4.9,0.4,12.0,0.7,14.3,0.4,12.4,0.4,10.6,0.4,18.7,0.7,12.3,0.3,11.3,0.4,10.6,0.5,14.2,0.7,19.3,0.4,20.4,0.5,21.3,0.6,16.0,0.6,12.0,0.3,14.2,0.4,16.7,0.5,6.2,0.4,18.8,0.3,24.1,0.4,29.7,0.6,5.7,0.4,100352,725,118960,1277,140151,1713,62991,1261,135849,1068,156616,1427,178762,1670,82496,1686,26.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X)
0500000US24033,24033,"Prince George's County, Maryland",306711,1131,202160,1706,119956,1850,104551,1566,4.0,0.2,2.7,0.3,0.9,0.2,7.5,0.5,2.2,0.2,1.6,0.2,0.5,0.1,4.0,0.4,5.8,0.3,4.8,0.3,2.4,0.3,9.3,0.6,6.8,0.3,6.1,0.4,3.7,0.4,9.2,0.5,11.4,0.3,9.9,0.4,7.3,0.5,14.9,0.8,19.3,0.4,17.5,0.5,14.7,0.6,22.1,0.9,14.7,0.4,14.8,0.5,14.6,0.6,14.3,0.7,19.6,0.4,21.8,0.5,26.3,0.7,13.2,0.6,9.2,0.4,11.7,0.5,15.8,0.7,3.5,0.4,7.0,0.2,9.1,0.3,13.9,0.6,2.0,0.3,75925,799,86478,1194,109619,1739,54317,1174,92135,745,102723,1082,124341,1604,64856,1046,39.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X)
0500000US24035,24035,"Queen Anne's County, Maryland",17785,380,13162,411,10948,411,4623,358,3.1,0.8,1.8,0.7,1.0,0.6,7.9,2.8,2.2,0.6,1.6,0.7,0.3,0.2,5.1,1.9,4.5,0.9,2.8,0.8,1.3,0.6,11.0,3.3,7.1,1.1,4.6,1.0,3.6,1.0,13.8,2.9,10.2,1.3,8.1,1.2,6.8,1.2,15.1,3.8,17.2,1.5,16.8,1.9,16.0,2.0,19.4,3.2,12.0,1.4,12.5,1.7,13.1,1.9,10.8,2.1,24.8,2.0,28.6,2.5,31.7,2.6,11.8,2.6,9.2,1.4,11.8,1.9,12.8,2.2,1.4,0.9,9.6,1.3,11.3,1.6,13.4,1.8,3.8,1.8,85891,3490,103093,4174,113814,3762,46381,3411,105339,3902,118034,4787,N,N,64588,5978,31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
0500000US24037,24037,"St. Mary's County, Maryland",38978,514,27876,621,21949,723,11102,578,4.1,0.8,2.4,0.8,0.7,0.5,9.4,2.1,2.7,0.7,1.7,0.7,0.3,0.2,6.1,1.6,5.0,0.8,3.3,0.8,2.0,0.7,9.7,2.0,6.6,1.2,4.8,1.1,3.1,1.0,10.7,2.2,8.6,1.1,8.0,1.2,6.2,1.3,10.9,1.8,15.9,1.4,14.9,1.7,13.0,1.5,20.0,3.1,15.2,1.4,15.6,1.7,15.7,1.8,13.5,2.5,23.5,1.6,26.4,1.7,31.0,2.0,14.5,2.2,10.0,1.0,12.5,1.3,15.1,1.6,2.6,0.9,8.4,1.0,10.5,1.4,12.8,1.7,2.5,1.2,86810,2442,98905,3433,111762,2909,53994,4788,100183,2832,113151,3907,127414,4941,62741,3340,28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X)
0500000US24039,24039,"Somerset County, Maryland",8328,838,5147,653,3152,344,3181,393,14.1,2.8,9.7,3.6,3.4,1.8,22.9,6.2,7.0,2.1,6.1,2.1,2.2,1.0,10.1,3.8,14.5,2.6,10.8,2.4,8.9,2.9,21.0,5.3,13.6,2.3,12.1,3.4,13.1,4.3,14.8,4.4,11.9,2.2,12.7,3.4,11.2,3.1,10.6,3.0,16.4,2.2,17.9,3.0,19.4,3.3,11.9,3.1,10.5,2.0,13.7,2.2,15.5,3.3,5.3,3.1,7.6,1.5,10.6,2.5,16.5,4.1,2.3,1.5,3.1,1.0,4.6,1.5,7.0,2.4,0.7,0.7,1.2,0.6,1.7,1.0,2.8,1.7,0.3,0.4,35886,3391,46830,4589,64125,7797,22849,3472,50909,2647,61537,3676,N,N,31498,3014,42.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.8,(X)
0500000US24041,24041,"Talbot County, Maryland",16481,383,11001,370,8360,387,5480,394,6.4,1.3,2.6,1.0,1.4,0.8,14.3,3.1,4.0,0.9,2.0,0.8,1.3,0.7,8.1,2.3,9.7,1.5,5.8,1.4,2.8,1.0,19.0,3.9,9.1,1.4,7.2,1.5,4.8,1.5,14.1,3.1,12.7,1.6,12.5,2.2,11.1,2.0,12.3,2.8,17.6,2.0,19.7,2.5,17.8,2.4,14.5,3.1,11.7,1.4,14.4,1.8,16.4,2.1,4.7,2.0,15.8,1.7,19.1,2.1,23.0,2.7,8.3,2.6,5.0,0.9,6.5,1.2,8.1,1.4,1.1,0.6,8.1,1.0,10.3,1.2,13.1,1.7,3.5,1.2,61395,3858,75315,2583,89523,3093,30313,2807,91003,4229,107477,5733,N,N,54495,6086,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X)
0500000US24043,24043,"Washington County, Maryland",56094,641,37610,661,27644,714,18484,585,5.7,0.7,4.5,0.7,1.8,0.6,10.1,1.4,4.7,0.5,2.3,0.5,1.0,0.4,10.0,1.3,10.8,0.7,7.3,0.9,4.1,0.6,18.7,1.7,9.5,0.8,8.7,1.0,7.0,1.0,12.0,1.5,13.7,1.0,12.0,1.2,11.2,1.2,17.4,1.9,19.9,1.1,21.3,1.4,22.1,1.5,16.3,2.0,13.4,0.9,15.6,1.1,17.4,1.3,8.9,1.3,13.7,0.9,17.2,1.3,20.7,1.5,4.2,1.1,5.1,0.5,6.5,0.8,8.7,1.0,1.6,0.6,3.5,0.5,4.6,0.7,6.0,0.9,0.8,0.5,56316,1182,68464,1734,79138,3142,34329,2121,72310,1804,84145,2668,97347,3347,43893,1743,27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X)
0500000US24045,24045,"Wicomico County, Maryland",37170,603,24539,576,17477,574,12631,575,5.5,0.8,3.7,0.7,1.0,0.4,11.1,2.0,4.8,0.9,3.5,1.0,1.1,0.7,7.9,1.7,12.1,1.1,7.9,1.1,4.1,1.0,20.9,2.6,11.2,1.4,9.9,1.6,8.2,1.7,14.0,2.2,13.5,1.1,12.3,1.4,11.1,1.5,15.9,2.1,18.8,1.3,20.0,1.8,20.8,2.2,16.8,2.2,12.9,1.3,15.2,1.7,18.3,2.0,6.7,1.7,13.5,1.2,17.4,1.8,21.7,2.2,4.4,1.2,4.7,0.9,6.2,1.2,8.4,1.6,1.4,1.0,2.9,0.6,3.8,0.8,5.3,1.1,0.9,0.8,53508,1626,65821,3721,80071,3641,32114,2011,69617,2649,81128,3429,96600,4513,42967,3736,38.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.1,(X)
0500000US24047,24047,"Worcester County, Maryland",21010,578,13421,437,10375,369,7589,521,6.0,1.1,4.0,1.1,1.7,0.6,10.0,2.2,5.0,0.8,2.0,0.9,1.4,0.6,10.2,1.7,9.1,1.0,5.8,1.2,3.4,1.2,15.9,2.0,10.8,1.1,8.6,1.5,7.8,1.6,15.0,1.9,12.6,1.3,14.1,1.8,12.5,1.8,12.3,2.3,19.6,1.7,20.8,2.2,20.5,2.2,17.7,2.4,12.3,1.3,14.7,1.8,15.8,2.1,7.1,1.7,14.1,1.4,17.0,1.8,20.5,2.4,6.5,1.7,5.8,0.8,7.3,1.0,9.1,1.3,2.9,1.1,4.7,0.7,5.8,1.0,7.1,1.3,2.4,1.2,57227,2522,68324,3480,77693,4348,34055,2818,76373,2903,86681,3287,N,N,54869,5863,33.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X)
0500000US24510,24510,"Baltimore city, Maryland",242416,1560,124615,1413,58795,1409,117801,1547,12.6,0.4,8.6,0.5,2.1,0.4,18.0,0.7,7.2,0.4,5.1,0.4,2.2,0.4,9.6,0.5,11.2,0.4,9.4,0.5,5.5,0.6,13.6,0.6,10.6,0.4,10.4,0.5,6.3,0.6,11.4,0.6,13.0,0.4,13.6,0.6,10.4,0.8,12.8,0.6,16.8,0.5,17.7,0.7,18.4,1.1,15.4,0.7,10.1,0.4,11.9,0.6,15.5,0.9,7.5,0.5,10.3,0.4,12.3,0.5,18.9,1.0,7.4,0.5,3.9,0.2,5.1,0.4,9.3,0.8,2.5,0.2,4.1,0.2,5.9,0.4,11.4,0.7,2.0,0.3,44262,812,53168,1036,83272,2114,32409,843,65059,902,77643,1492,112209,2652,48888,1115,41.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),46.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X)
