GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0500000US24021,24021,"Frederick County, Maryland",88995,500,4445,397,22908,909,35342,968,17563,674,8737,437,19430,736,2677,301,13069,665,2902,286,598,132,184,86,29700,875,754,184,5228,491,15687,639,6088,380,1943,236,16156,678,563,152,2300,310,6324,459,4780,370,2189,261,23709,603,451,163,2311,346,10429,551,6097,440,4421,320
0500000US24023,24023,"Garrett County, Maryland",11644,402,886,138,3532,326,4335,316,1992,226,899,181,3079,279,539,116,1938,249,532,156,31,24,39,34,4659,289,232,72,1063,182,2289,205,807,150,268,101,1579,167,32,19,312,99,529,99,515,109,191,78,2327,171,83,41,219,69,985,173,639,135,401,110
0500000US24025,24025,"Harford County, Maryland",92497,675,4552,434,25057,853,38394,940,16279,787,8215,539,21482,877,3030,371,14576,607,3197,437,394,126,285,138,31576,930,756,159,6107,521,17862,758,5359,459,1492,238,16159,808,408,144,2240,349,6238,533,5112,423,2161,298,23280,676,358,143,2134,373,11097,519,5414,435,4277,364
0500000US24027,24027,"Howard County, Maryland",109872,683,3974,463,28999,1012,49641,1177,19060,737,8198,559,22625,811,2352,318,16969,784,2889,348,290,104,125,57,35879,950,829,231,6527,621,21657,780,5771,438,1095,218,20868,794,283,118,3284,441,9755,664,5627,423,1919,280,30500,838,510,157,2219,344,15340,603,7372,528,5059,410
0500000US24029,24029,"Kent County, Maryland",7683,302,902,167,2463,250,2783,260,1031,149,504,113,2592,314,570,144,1483,224,495,140,9,11,35,33,3119,220,220,114,774,181,1530,164,509,91,86,50,854,154,6,8,122,74,368,114,215,82,143,64,1118,169,106,73,84,56,390,134,298,88,240,70
0500000US24031,24031,"Montgomery County, Maryland",367764,1242,28388,1196,125744,1888,145782,1897,48411,1282,19439,819,91530,1658,17322,850,64804,1616,8162,581,949,211,293,125,112451,1597,5306,549,31161,1086,61807,1324,11381,682,2796,311,65823,1499,2761,376,14364,886,29251,1144,15580,788,3867,383,97960,1209,2999,383,15415,761,46562,1012,20501,893,12483,674
0500000US24033,24033,"Prince George's County, Maryland",306711,1131,27760,967,114426,1565,100426,1521,42886,1132,21213,835,87037,1620,13582,731,58117,1337,12491,659,1998,314,849,222,85786,1280,5999,514,26658,1062,38987,1019,10767,597,3375,305,53747,1301,3918,442,14309,710,19604,905,11862,564,4054,366,80141,1193,4261,401,15342,684,29344,957,18259,737,12935,617
0500000US24035,24035,"Queen Anne's County, Maryland",17785,380,535,170,4043,322,7350,445,3651,300,2206,257,3828,319,368,142,2387,277,889,182,114,79,70,45,6879,364,35,33,976,189,3867,314,1576,209,425,133,2844,250,53,47,315,103,1010,168,898,178,568,135,4234,303,79,58,365,113,1584,198,1063,202,1143,207
0500000US24037,24037,"St. Mary's County, Maryland",38978,514,2109,346,9308,611,15297,793,7679,544,4585,452,8864,501,1099,299,5584,437,1685,257,384,133,112,82,13080,644,542,196,1956,312,7023,502,2481,334,1078,245,6828,505,57,43,755,209,2735,366,2229,244,1052,202,10206,476,411,139,1013,251,3854,474,2585,373,2343,318
0500000US24039,24039,"Somerset County, Maryland",8328,838,1030,248,3137,444,2603,323,1034,235,524,134,2651,349,601,178,1585,278,316,115,134,100,15,17,2938,435,126,69,1003,304,1223,181,381,98,205,73,1474,318,235,158,316,136,450,155,303,130,170,83,1265,222,68,36,233,94,614,150,216,82,134,53
0500000US24041,24041,"Talbot County, Maryland",16481,383,921,195,5186,355,6740,382,2568,273,1066,159,4576,341,554,149,3223,299,651,144,112,62,36,28,7424,374,242,136,1448,276,4157,322,1294,194,283,103,2001,250,33,34,299,116,793,145,597,147,279,113,2480,251,92,82,216,114,1139,190,565,133,468,121
0500000US24043,24043,"Washington County, Maryland",56094,641,4594,398,17611,721,20377,726,9210,552,4302,341,15175,555,2638,318,9467,510,2466,270,490,167,114,62,19125,661,1019,194,4642,407,9223,512,3115,319,1126,189,8993,570,492,169,1915,322,3027,319,2649,347,910,186,12801,553,445,132,1587,245,5661,452,2956,348,2152,257
0500000US24045,24045,"Wicomico County, Maryland",37170,603,2609,337,12765,739,13204,698,5944,380,2648,379,9557,609,1425,263,6438,556,1297,257,256,104,141,88,13171,656,522,153,3329,418,6553,499,2065,236,702,206,6238,502,294,142,1245,255,2561,307,1578,236,560,158,8204,556,368,146,1753,313,2793,362,2045,269,1245,293
0500000US24047,24047,"Worcester County, Maryland",21010,578,1490,208,7376,485,7911,401,3071,304,1162,195,6378,460,990,193,4411,367,711,133,214,75,52,41,8993,391,281,112,2066,238,5034,303,1323,179,289,90,2790,295,106,72,530,139,1056,227,723,170,375,129,2849,239,113,76,369,132,1110,152,811,138,446,124
0500000US24510,24510,"Baltimore city, Maryland",242416,1560,71257,1279,100184,1698,55366,1366,12179,635,3430,388,94454,1272,38575,1039,50108,1310,4607,447,880,209,284,89,71091,1324,15303,765,25440,989,27140,847,2771,292,437,150,35681,1057,7862,545,11812,709,10758,647,4438,387,811,202,41190,1137,9517,617,12824,811,12861,603,4090,402,1898,232
