hhid,indid,APER,gender,age,educ,vehicles,income,school,employment
1080000,108000001,2,0,18,11,2,16000,1,3
1080001,108000101,2,0,18,11,2,16000,1,3
1080002,108000201,2,0,18,11,2,16000,1,3
1080000,108000002,2,1,16,11,2,0,1,3
1080001,108000102,2,1,16,11,2,0,1,3
1080002,108000202,2,1,16,11,2,0,1,3
1100000,110000001,3,1,8,6,1,60000,1,1
1100000,110000002,3,0,10,6,1,53000,1,1
1100000,110000003,3,1,3,2,1,0,2,0
1220000,122000001,1,0,11,5,1,10600,1,1
1220001,122000101,1,0,11,5,1,10600,1,1
1220002,122000201,1,0,11,5,1,10600,1,1
1220003,122000301,1,0,11,5,1,10600,1,1
1220004,122000401,1,0,11,5,1,10600,1,1
1220005,122000501,1,0,11,5,1,10600,1,1
1220006,122000601,1,0,11,5,1,10600,1,1
1220007,122000701,1,0,11,5,1,10600,1,1
1220008,122000801,1,0,11,5,1,10600,1,1
1220009,122000901,1,0,11,5,1,10600,1,1
1220010,122001001,1,0,11,5,1,10600,1,1
1220011,122001101,1,0,11,5,1,10600,1,1
1220012,122001201,1,0,11,5,1,10600,1,1
1220013,122001301,1,0,11,5,1,10600,1,1
1220014,122001401,1,0,11,5,1,10600,1,1
1220015,122001501,1,0,11,5,1,10600,1,1
1220016,122001601,1,0,11,5,1,10600,1,1
1220017,122001701,1,0,11,5,1,10600,1,1
1220018,122001801,1,0,11,5,1,10600,1,1
1220019,122001901,1,0,11,5,1,10600,1,1
1220020,122002001,1,0,11,5,1,10600,1,1
1230000,123000001,1,0,10,10,1,94250,1,1
1230001,123000101,1,0,10,10,1,94250,1,1
1240000,124000001,2,0,19,6,3,0,1,3
1240000,124000002,2,1,19,6,3,0,1,3
1260000,126000002,2,0,13,2,2,0,1,2
1260001,126000102,2,0,13,2,2,0,1,2
1260002,126000202,2,0,13,2,2,0,1,2
1260003,126000302,2,0,13,2,2,0,1,2
1260004,126000402,2,0,13,2,2,0,1,2
1260005,126000502,2,0,13,2,2,0,1,2
1260006,126000602,2,0,13,2,2,0,1,2
1260007,126000702,2,0,13,2,2,0,1,2
1260008,126000802,2,0,13,2,2,0,1,2
1260009,126000902,2,0,13,2,2,0,1,2
1260010,126001002,2,0,13,2,2,0,1,2
1260011,126001102,2,0,13,2,2,0,1,2
1260012,126001202,2,0,13,2,2,0,1,2
1260013,126001302,2,0,13,2,2,0,1,2
1260014,126001402,2,0,13,2,2,0,1,2
1260015,126001502,2,0,13,2,2,0,1,2
1260016,126001602,2,0,13,2,2,0,1,2
1260017,126001702,2,0,13,2,2,0,1,2
1260018,126001802,2,0,13,2,2,0,1,2
1260019,126001902,2,0,13,2,2,0,1,2
1260020,126002002,2,0,13,2,2,0,1,2
1260021,126002102,2,0,13,2,2,0,1,2
1260022,126002202,2,0,13,2,2,0,1,2
1260023,126002302,2,0,13,2,2,0,1,2
1260024,126002402,2,0,13,2,2,0,1,2
1260025,126002502,2,0,13,2,2,0,1,2
1260026,126002602,2,0,13,2,2,0,1,2
1260027,126002702,2,0,13,2,2,0,1,2
1260028,126002802,2,0,13,2,2,0,1,2
1260029,126002902,2,0,13,2,2,0,1,2
1260030,126003002,2,0,13,2,2,0,1,2
1260031,126003102,2,0,13,2,2,0,1,2
1260032,126003202,2,0,13,2,2,0,1,2
1260033,126003302,2,0,13,2,2,0,1,2
1260034,126003402,2,0,13,2,2,0,1,2
1260035,126003502,2,0,13,2,2,0,1,2
1260036,126003602,2,0,13,2,2,0,1,2
1260037,126003702,2,0,13,2,2,0,1,2
1260038,126003802,2,0,13,2,2,0,1,2
1260039,126003902,2,0,13,2,2,0,1,2
1260040,126004002,2,0,13,2,2,0,1,2
1260041,126004102,2,0,13,2,2,0,1,2
1260042,126004202,2,0,13,2,2,0,1,2
1260043,126004302,2,0,13,2,2,0,1,2
1260044,126004402,2,0,13,2,2,0,1,2
1260045,126004502,2,0,13,2,2,0,1,2
1260046,126004602,2,0,13,2,2,0,1,2
1260047,126004702,2,0,13,2,2,0,1,2
1260048,126004802,2,0,13,2,2,0,1,2
1260049,126004902,2,0,13,2,2,0,1,2
1260050,126005002,2,0,13,2,2,0,1,2
1260051,126005102,2,0,13,2,2,0,1,2
1260052,126005202,2,0,13,2,2,0,1,2
1260053,126005302,2,0,13,2,2,0,1,2
1260054,126005402,2,0,13,2,2,0,1,2
1260055,126005502,2,0,13,2,2,0,1,2
1260056,126005602,2,0,13,2,2,0,1,2
1260057,126005702,2,0,13,2,2,0,1,2
1260058,126005802,2,0,13,2,2,0,1,2
1260059,126005902,2,0,13,2,2,0,1,2
1260060,126006002,2,0,13,2,2,0,1,2
1260061,126006102,2,0,13,2,2,0,1,2
1260062,126006202,2,0,13,2,2,0,1,2
1260063,126006302,2,0,13,2,2,0,1,2
1260064,126006402,2,0,13,2,2,0,1,2
1260065,126006502,2,0,13,2,2,0,1,2
1260066,126006602,2,0,13,2,2,0,1,2
1260067,126006702,2,0,13,2,2,0,1,2
1260068,126006802,2,0,13,2,2,0,1,2
1260069,126006902,2,0,13,2,2,0,1,2
1260070,126007002,2,0,13,2,2,0,1,2
1260071,126007102,2,0,13,2,2,0,1,2
1260072,126007202,2,0,13,2,2,0,1,2
1260073,126007302,2,0,13,2,2,0,1,2
1260074,126007402,2,0,13,2,2,0,1,2
1260075,126007502,2,0,13,2,2,0,1,2
1260076,126007602,2,0,13,2,2,0,1,2
1260077,126007702,2,0,13,2,2,0,1,2
1260078,126007802,2,0,13,2,2,0,1,2
1260079,126007902,2,0,13,2,2,0,1,2
1260080,126008002,2,0,13,2,2,0,1,2
1260000,126000001,2,1,20,2,2,0,1,3
1260001,126000101,2,1,20,2,2,0,1,3
1260002,126000201,2,1,20,2,2,0,1,3
1260003,126000301,2,1,20,2,2,0,1,3
1260004,126000401,2,1,20,2,2,0,1,3
1260005,126000501,2,1,20,2,2,0,1,3
1260006,126000601,2,1,20,2,2,0,1,3
1260007,126000701,2,1,20,2,2,0,1,3
1260008,126000801,2,1,20,2,2,0,1,3
1260009,126000901,2,1,20,2,2,0,1,3
1260010,126001001,2,1,20,2,2,0,1,3
1260011,126001101,2,1,20,2,2,0,1,3
1260012,126001201,2,1,20,2,2,0,1,3
1260013,126001301,2,1,20,2,2,0,1,3
1260014,126001401,2,1,20,2,2,0,1,3
1260015,126001501,2,1,20,2,2,0,1,3
1260016,126001601,2,1,20,2,2,0,1,3
1260017,126001701,2,1,20,2,2,0,1,3
1260018,126001801,2,1,20,2,2,0,1,3
1260019,126001901,2,1,20,2,2,0,1,3
1260020,126002001,2,1,20,2,2,0,1,3
1260021,126002101,2,1,20,2,2,0,1,3
1260022,126002201,2,1,20,2,2,0,1,3
1260023,126002301,2,1,20,2,2,0,1,3
1260024,126002401,2,1,20,2,2,0,1,3
1260025,126002501,2,1,20,2,2,0,1,3
1260026,126002601,2,1,20,2,2,0,1,3
1260027,126002701,2,1,20,2,2,0,1,3
1260028,126002801,2,1,20,2,2,0,1,3
1260029,126002901,2,1,20,2,2,0,1,3
1260030,126003001,2,1,20,2,2,0,1,3
1260031,126003101,2,1,20,2,2,0,1,3
1260032,126003201,2,1,20,2,2,0,1,3
1260033,126003301,2,1,20,2,2,0,1,3
1260034,126003401,2,1,20,2,2,0,1,3
1260035,126003501,2,1,20,2,2,0,1,3
1260036,126003601,2,1,20,2,2,0,1,3
1260037,126003701,2,1,20,2,2,0,1,3
1260038,126003801,2,1,20,2,2,0,1,3
1260039,126003901,2,1,20,2,2,0,1,3
1260040,126004001,2,1,20,2,2,0,1,3
1260041,126004101,2,1,20,2,2,0,1,3
1260042,126004201,2,1,20,2,2,0,1,3
1260043,126004301,2,1,20,2,2,0,1,3
1260044,126004401,2,1,20,2,2,0,1,3
1260045,126004501,2,1,20,2,2,0,1,3
1260046,126004601,2,1,20,2,2,0,1,3
1260047,126004701,2,1,20,2,2,0,1,3
1260048,126004801,2,1,20,2,2,0,1,3
1260049,126004901,2,1,20,2,2,0,1,3
1260050,126005001,2,1,20,2,2,0,1,3
1260051,126005101,2,1,20,2,2,0,1,3
1260052,126005201,2,1,20,2,2,0,1,3
1260053,126005301,2,1,20,2,2,0,1,3
1260054,126005401,2,1,20,2,2,0,1,3
1260055,126005501,2,1,20,2,2,0,1,3
1260056,126005601,2,1,20,2,2,0,1,3
1260057,126005701,2,1,20,2,2,0,1,3
1260058,126005801,2,1,20,2,2,0,1,3
1260059,126005901,2,1,20,2,2,0,1,3
1260060,126006001,2,1,20,2,2,0,1,3
1260061,126006101,2,1,20,2,2,0,1,3
1260062,126006201,2,1,20,2,2,0,1,3
1260063,126006301,2,1,20,2,2,0,1,3
1260064,126006401,2,1,20,2,2,0,1,3
1260065,126006501,2,1,20,2,2,0,1,3
1260066,126006601,2,1,20,2,2,0,1,3
1260067,126006701,2,1,20,2,2,0,1,3
1260068,126006801,2,1,20,2,2,0,1,3
1260069,126006901,2,1,20,2,2,0,1,3
1260070,126007001,2,1,20,2,2,0,1,3
1260071,126007101,2,1,20,2,2,0,1,3
1260072,126007201,2,1,20,2,2,0,1,3
1260073,126007301,2,1,20,2,2,0,1,3
1260074,126007401,2,1,20,2,2,0,1,3
1260075,126007501,2,1,20,2,2,0,1,3
1260076,126007601,2,1,20,2,2,0,1,3
1260077,126007701,2,1,20,2,2,0,1,3
1260078,126007801,2,1,20,2,2,0,1,3
1260079,126007901,2,1,20,2,2,0,1,3
1260080,126008001,2,1,20,2,2,0,1,3
1450000,145000001,1,1,11,11,2,105000,1,1
1450001,145000101,1,1,11,11,2,105000,1,1
1450002,145000201,1,1,11,11,2,105000,1,1
1450003,145000301,1,1,11,11,2,105000,1,1
1450004,145000401,1,1,11,11,2,105000,1,1
1450005,145000501,1,1,11,11,2,105000,1,1
1450006,145000601,1,1,11,11,2,105000,1,1
1450007,145000701,1,1,11,11,2,105000,1,1
1450008,145000801,1,1,11,11,2,105000,1,1
1450009,145000901,1,1,11,11,2,105000,1,1
1450010,145001001,1,1,11,11,2,105000,1,1
1560000,156000001,2,1,9,11,2,122000,1,1
1560001,156000101,2,1,9,11,2,122000,1,1
1560002,156000201,2,1,9,11,2,122000,1,1
1560003,156000301,2,1,9,11,2,122000,1,1
1560004,156000401,2,1,9,11,2,122000,1,1
1560005,156000501,2,1,9,11,2,122000,1,1
1560006,156000601,2,1,9,11,2,122000,1,1
1560000,156000002,2,0,10,11,2,90000,1,1
1560001,156000102,2,0,10,11,2,90000,1,1
1560002,156000202,2,0,10,11,2,90000,1,1
1560003,156000302,2,0,10,11,2,90000,1,1
1560004,156000402,2,0,10,11,2,90000,1,1
1560005,156000502,2,0,10,11,2,90000,1,1
1560006,156000602,2,0,10,11,2,90000,1,1
1620000,162000001,1,0,22,6,0,0,1,3
1680000,168000001,2,0,12,11,2,63000,1,1
1680001,168000101,2,0,12,11,2,63000,1,1
1680002,168000201,2,0,12,11,2,63000,1,1
1680003,168000301,2,0,12,11,2,63000,1,1
1680004,168000401,2,0,12,11,2,63000,1,1
1680005,168000501,2,0,12,11,2,63000,1,1
1680006,168000601,2,0,12,11,2,63000,1,1
1680007,168000701,2,0,12,11,2,63000,1,1
1680000,168000002,2,1,11,11,2,97000,1,1
1680001,168000102,2,1,11,11,2,97000,1,1
1680002,168000202,2,1,11,11,2,97000,1,1
1680003,168000302,2,1,11,11,2,97000,1,1
1680004,168000402,2,1,11,11,2,97000,1,1
1680005,168000502,2,1,11,11,2,97000,1,1
1680006,168000602,2,1,11,11,2,97000,1,1
1680007,168000702,2,1,11,11,2,97000,1,1
1730000,173000001,1,1,12,8,1,60000,1,1
1730001,173000101,1,1,12,8,1,60000,1,1
1730002,173000201,1,1,12,8,1,60000,1,1
1730003,173000301,1,1,12,8,1,60000,1,1
1790000,179000001,1,0,9,7,0,1000,1,3
1910000,191000001,2,1,13,10,1,50000,1,1
1910000,191000002,2,1,0,1,1,0,1,0
1980000,198000001,1,1,2,2,0,0,2,0
1980001,198000101,1,1,2,2,0,0,2,0
1980002,198000201,1,1,2,2,0,0,2,0
1980003,198000301,1,1,2,2,0,0,2,0
1980004,198000401,1,1,2,2,0,0,2,0
1980005,198000501,1,1,2,2,0,0,2,0
1980006,198000601,1,1,2,2,0,0,2,0
1980007,198000701,1,1,2,2,0,0,2,0
1980008,198000801,1,1,2,2,0,0,2,0
2210000,221000001,2,1,18,11,2,8000,1,1
2210001,221000101,2,1,18,11,2,8000,1,1
2210002,221000201,2,1,18,11,2,8000,1,1
2210000,221000002,2,0,10,11,2,900,1,2
2210001,221000102,2,0,10,11,2,900,1,2
2210002,221000202,2,0,10,11,2,900,1,2
2230000,223000001,1,1,8,7,1,40000,2,1
2270000,227000003,3,1,8,7,2,0,2,3
2270000,227000002,3,1,13,8,2,12000,1,1
2270000,227000001,3,0,14,8,2,100000,1,1
2760000,276000001,1,1,18,6,1,0,1,3
2920000,292000001,2,1,18,11,2,0,1,3
2920001,292000101,2,1,18,11,2,0,1,3
2920002,292000201,2,1,18,11,2,0,1,3
2920000,292000002,2,0,18,11,2,0,1,3
2920001,292000102,2,0,18,11,2,0,1,3
2920002,292000202,2,0,18,11,2,0,1,3
3010000,301000001,2,0,14,10,2,115000,1,1
3010000,301000002,2,1,12,10,2,80000,1,1
3110000,311000001,1,1,14,8,0,0,1,2
3120000,312000001,2,0,20,6,2,0,1,3
3120001,312000101,2,0,20,6,2,0,1,3
3120000,312000002,2,1,18,6,2,30100,1,1
3120001,312000102,2,1,18,6,2,30100,1,1
3490000,349000001,2,0,20,7,2,0,1,3
3490000,349000002,2,1,20,7,2,0,1,3
3840000,384000001,4,0,9,6,2,38000,1,1
3840001,384000101,4,0,9,6,2,38000,1,1
3840002,384000201,4,0,9,6,2,38000,1,1
3840003,384000301,4,0,9,6,2,38000,1,1
3840004,384000401,4,0,9,6,2,38000,1,1
3840005,384000501,4,0,9,6,2,38000,1,1
3840000,384000002,4,1,10,6,2,25000,1,1
3840001,384000102,4,1,10,6,2,25000,1,1
3840002,384000202,4,1,10,6,2,25000,1,1
3840003,384000302,4,1,10,6,2,25000,1,1
3840004,384000402,4,1,10,6,2,25000,1,1
3840005,384000502,4,1,10,6,2,25000,1,1
3840000,384000003,4,1,14,6,2,28000,1,1
3840001,384000103,4,1,14,6,2,28000,1,1
3840002,384000203,4,1,14,6,2,28000,1,1
3840003,384000303,4,1,14,6,2,28000,1,1
3840004,384000403,4,1,14,6,2,28000,1,1
3840005,384000503,4,1,14,6,2,28000,1,1
3840000,384000004,4,0,12,6,2,0,1,2
3840001,384000104,4,0,12,6,2,0,1,2
3840002,384000204,4,0,12,6,2,0,1,2
3840003,384000304,4,0,12,6,2,0,1,2
3840004,384000404,4,0,12,6,2,0,1,2
3840005,384000504,4,0,12,6,2,0,1,2
3980000,398000001,2,0,14,11,4,482000,2,1
3980001,398000101,2,0,14,11,4,482000,2,1
3980002,398000201,2,0,14,11,4,482000,2,1
3980000,398000002,2,1,14,11,4,0,2,3
3980001,398000102,2,1,14,11,4,0,2,3
3980002,398000202,2,1,14,11,4,0,2,3
4020000,402000001,2,0,10,7,3,80000,1,1
4020001,402000101,2,0,10,7,3,80000,1,1
4020002,402000201,2,0,10,7,3,80000,1,1
4020003,402000301,2,0,10,7,3,80000,1,1
4020004,402000401,2,0,10,7,3,80000,1,1
4020005,402000501,2,0,10,7,3,80000,1,1
4020006,402000601,2,0,10,7,3,80000,1,1
4020007,402000701,2,0,10,7,3,80000,1,1
4020008,402000801,2,0,10,7,3,80000,1,1
4020009,402000901,2,0,10,7,3,80000,1,1
4020010,402001001,2,0,10,7,3,80000,1,1
4020011,402001101,2,0,10,7,3,80000,1,1
4020012,402001201,2,0,10,7,3,80000,1,1
4020013,402001301,2,0,10,7,3,80000,1,1
4020014,402001401,2,0,10,7,3,80000,1,1
4020015,402001501,2,0,10,7,3,80000,1,1
4020016,402001601,2,0,10,7,3,80000,1,1
4020017,402001701,2,0,10,7,3,80000,1,1
4020018,402001801,2,0,10,7,3,80000,1,1
4020019,402001901,2,0,10,7,3,80000,1,1
4020020,402002001,2,0,10,7,3,80000,1,1
4020021,402002101,2,0,10,7,3,80000,1,1
4020022,402002201,2,0,10,7,3,80000,1,1
4020023,402002301,2,0,10,7,3,80000,1,1
4020024,402002401,2,0,10,7,3,80000,1,1
4020025,402002501,2,0,10,7,3,80000,1,1
4020026,402002601,2,0,10,7,3,80000,1,1
4020000,402000002,2,1,9,7,3,35000,1,1
4020001,402000102,2,1,9,7,3,35000,1,1
4020002,402000202,2,1,9,7,3,35000,1,1
4020003,402000302,2,1,9,7,3,35000,1,1
4020004,402000402,2,1,9,7,3,35000,1,1
4020005,402000502,2,1,9,7,3,35000,1,1
4020006,402000602,2,1,9,7,3,35000,1,1
4020007,402000702,2,1,9,7,3,35000,1,1
4020008,402000802,2,1,9,7,3,35000,1,1
4020009,402000902,2,1,9,7,3,35000,1,1
4020010,402001002,2,1,9,7,3,35000,1,1
4020011,402001102,2,1,9,7,3,35000,1,1
4020012,402001202,2,1,9,7,3,35000,1,1
4020013,402001302,2,1,9,7,3,35000,1,1
4020014,402001402,2,1,9,7,3,35000,1,1
4020015,402001502,2,1,9,7,3,35000,1,1
4020016,402001602,2,1,9,7,3,35000,1,1
4020017,402001702,2,1,9,7,3,35000,1,1
4020018,402001802,2,1,9,7,3,35000,1,1
4020019,402001902,2,1,9,7,3,35000,1,1
4020020,402002002,2,1,9,7,3,35000,1,1
4020021,402002102,2,1,9,7,3,35000,1,1
4020022,402002202,2,1,9,7,3,35000,1,1
4020023,402002302,2,1,9,7,3,35000,1,1
4020024,402002402,2,1,9,7,3,35000,1,1
4020025,402002502,2,1,9,7,3,35000,1,1
4020026,402002602,2,1,9,7,3,35000,1,1
4090000,409000001,1,1,16,8,1,80000,1,1
4100000,410000001,2,1,12,6,1,30000,1,1
4100000,410000002,2,0,12,6,1,22000,1,1
4210000,421000001,1,0,5,6,0,0,2,3
4250000,425000001,1,0,10,11,1,50000,1,1
4250001,425000101,1,0,10,11,1,50000,1,1
4380000,438000001,3,0,13,6,2,30400,1,1
4380000,438000002,3,1,14,4,2,410,1,2
4380000,438000003,3,1,3,4,2,0,2,0
4640000,464000001,2,1,20,6,2,0,1,3
4640000,464000002,2,0,21,6,2,0,1,3
4920000,492000003,3,0,2,1,1,0,2,0
4920000,492000002,3,0,6,7,1,0,2,3
4920000,492000001,3,1,15,7,1,25000,1,1
5310000,531000001,1,0,9,7,1,35000,1,1
5310001,531000101,1,0,9,7,1,35000,1,1
5340000,534000001,1,1,16,6,4,5000,1,1
5340001,534000101,1,1,16,6,4,5000,1,1
5340002,534000201,1,1,16,6,4,5000,1,1
5370000,537000001,2,0,9,6,3,75000,1,1
5370000,537000002,2,1,8,8,3,62000,1,1
5390000,539000001,2,1,13,6,2,59000,1,1
5390001,539000101,2,1,13,6,2,59000,1,1
5390000,539000002,2,0,14,6,2,59000,1,1
5390001,539000102,2,0,14,6,2,59000,1,1
5410000,541000001,1,0,14,10,2,67000,1,1
5440000,544000001,1,0,20,6,2,0,1,3
5450000,545000005,5,0,3,5,4,4000,2,1
5450000,545000004,5,0,4,6,4,30000,1,1
5450000,545000001,5,0,13,6,4,50000,1,1
5450000,545000002,5,1,14,6,4,10000,1,1
5450000,545000003,5,0,7,6,4,22000,1,1
5770000,577000001,2,1,14,6,3,48000,1,1
5770001,577000101,2,1,14,6,3,48000,1,1
5770000,577000002,2,0,12,6,3,50000,1,1
5770001,577000102,2,0,12,6,3,50000,1,1
5810000,581000001,1,1,12,10,1,67000,1,1
5820000,582000001,1,0,10,10,1,2300,1,2
5850000,585000001,1,0,19,7,3,0,1,3
6090000,609000001,1,1,11,10,1,40400,1,1
6490000,649000004,4,1,1,1,3,0,2,0
6490001,649000104,4,1,1,1,3,0,2,0
6490002,649000204,4,1,1,1,3,0,2,0
6490003,649000304,4,1,1,1,3,0,2,0
6490004,649000404,4,1,1,1,3,0,2,0
6490005,649000504,4,1,1,1,3,0,2,0
6490000,649000003,4,0,1,1,3,0,2,0
6490001,649000103,4,0,1,1,3,0,2,0
6490002,649000203,4,0,1,1,3,0,2,0
6490003,649000303,4,0,1,1,3,0,2,0
6490004,649000403,4,0,1,1,3,0,2,0
6490005,649000503,4,0,1,1,3,0,2,0
6490000,649000002,4,1,11,10,3,63000,1,1
6490001,649000102,4,1,11,10,3,63000,1,1
6490002,649000202,4,1,11,10,3,63000,1,1
6490003,649000302,4,1,11,10,3,63000,1,1
6490004,649000402,4,1,11,10,3,63000,1,1
6490005,649000502,4,1,11,10,3,63000,1,1
6490000,649000001,4,0,11,10,3,63000,1,1
6490001,649000101,4,0,11,10,3,63000,1,1
6490002,649000201,4,0,11,10,3,63000,1,1
6490003,649000301,4,0,11,10,3,63000,1,1
6490004,649000401,4,0,11,10,3,63000,1,1
6490005,649000501,4,0,11,10,3,63000,1,1
6870000,687000001,1,0,10,11,1,27000,1,1
6870001,687000101,1,0,10,11,1,27000,1,1
7260000,726000001,2,0,14,11,3,20500,1,1
7260001,726000101,2,0,14,11,3,20500,1,1
7260000,726000002,2,1,14,11,3,900,1,3
7260001,726000102,2,1,14,11,3,900,1,3
7390000,739000001,2,0,13,10,4,137000,1,1
7390001,739000101,2,0,13,10,4,137000,1,1
7390002,739000201,2,0,13,10,4,137000,1,1
7390003,739000301,2,0,13,10,4,137000,1,1
7390004,739000401,2,0,13,10,4,137000,1,1
7390005,739000501,2,0,13,10,4,137000,1,1
7390006,739000601,2,0,13,10,4,137000,1,1
7390000,739000002,2,1,13,10,4,40000,1,1
7390001,739000102,2,1,13,10,4,40000,1,1
7390002,739000202,2,1,13,10,4,40000,1,1
7390003,739000302,2,1,13,10,4,40000,1,1
7390004,739000402,2,1,13,10,4,40000,1,1
7390005,739000502,2,1,13,10,4,40000,1,1
7390006,739000602,2,1,13,10,4,40000,1,1
7450000,745000001,1,0,8,8,1,25000,1,1
7450001,745000101,1,0,8,8,1,25000,1,1
7450002,745000201,1,0,8,8,1,25000,1,1
7460000,746000001,1,0,7,7,0,0,2,3
7640000,764000001,2,1,13,6,0,28000,1,1
7640000,764000002,2,1,6,6,0,0,1,2
7670000,767000001,1,0,10,7,1,75000,1,1
7670001,767000101,1,0,10,7,1,75000,1,1
7710000,771000001,1,0,19,6,2,0,1,3
7720000,772000001,1,1,8,10,1,45000,2,1
7750000,775000001,4,1,12,8,4,21000,1,1
7750000,775000002,4,1,3,4,4,0,2,3
7750000,775000003,4,1,14,6,4,45000,1,1
7750000,775000004,4,1,11,6,4,70000,1,1
8100000,810000002,2,1,6,7,2,14400,2,1
8100001,810000102,2,1,6,7,2,14400,2,1
8100002,810000202,2,1,6,7,2,14400,2,1
8100003,810000302,2,1,6,7,2,14400,2,1
8100004,810000402,2,1,6,7,2,14400,2,1
8100005,810000502,2,1,6,7,2,14400,2,1
8100006,810000602,2,1,6,7,2,14400,2,1
8100007,810000702,2,1,6,7,2,14400,2,1
8100008,810000802,2,1,6,7,2,14400,2,1
8100009,810000902,2,1,6,7,2,14400,2,1
8100010,810001002,2,1,6,7,2,14400,2,1
8100011,810001102,2,1,6,7,2,14400,2,1
8100012,810001202,2,1,6,7,2,14400,2,1
8100013,810001302,2,1,6,7,2,14400,2,1
8100014,810001402,2,1,6,7,2,14400,2,1
8100015,810001502,2,1,6,7,2,14400,2,1
8100016,810001602,2,1,6,7,2,14400,2,1
8100017,810001702,2,1,6,7,2,14400,2,1
8100018,810001802,2,1,6,7,2,14400,2,1
8100019,810001902,2,1,6,7,2,14400,2,1
8100020,810002002,2,1,6,7,2,14400,2,1
8100021,810002102,2,1,6,7,2,14400,2,1
8100022,810002202,2,1,6,7,2,14400,2,1
8100023,810002302,2,1,6,7,2,14400,2,1
8100024,810002402,2,1,6,7,2,14400,2,1
8100025,810002502,2,1,6,7,2,14400,2,1
8100026,810002602,2,1,6,7,2,14400,2,1
8100027,810002702,2,1,6,7,2,14400,2,1
8100028,810002802,2,1,6,7,2,14400,2,1
8100029,810002902,2,1,6,7,2,14400,2,1
8100030,810003002,2,1,6,7,2,14400,2,1
8100031,810003102,2,1,6,7,2,14400,2,1
8100032,810003202,2,1,6,7,2,14400,2,1
8100033,810003302,2,1,6,7,2,14400,2,1
8100034,810003402,2,1,6,7,2,14400,2,1
8100035,810003502,2,1,6,7,2,14400,2,1
8100036,810003602,2,1,6,7,2,14400,2,1
8100037,810003702,2,1,6,7,2,14400,2,1
8100038,810003802,2,1,6,7,2,14400,2,1
8100039,810003902,2,1,6,7,2,14400,2,1
8100040,810004002,2,1,6,7,2,14400,2,1
8100041,810004102,2,1,6,7,2,14400,2,1
8100042,810004202,2,1,6,7,2,14400,2,1
8100043,810004302,2,1,6,7,2,14400,2,1
8100044,810004402,2,1,6,7,2,14400,2,1
8100045,810004502,2,1,6,7,2,14400,2,1
8100046,810004602,2,1,6,7,2,14400,2,1
8100047,810004702,2,1,6,7,2,14400,2,1
8100048,810004802,2,1,6,7,2,14400,2,1
8100049,810004902,2,1,6,7,2,14400,2,1
8100050,810005002,2,1,6,7,2,14400,2,1
8100051,810005102,2,1,6,7,2,14400,2,1
