hhid,indid,APER,gender,age,educ,vehicles,school,employment,income_earn
20150000565504,2015000056550402,2,1,9,8,2,2,3,2000
20150000565505,2015000056550501,1,0,8,4,0,1,3,7500
20150000565506,2015000056550601,5,0,11,10,3,2,1,65000
20150000565506,2015000056550602,5,1,11,6,3,1,1,43000
20150000565506,2015000056550603,5,0,3,5,3,2,3,0
20150000565506,2015000056550604,5,1,4,7,3,2,1,3000
20150000565506,2015000056550605,5,1,3,5,3,2,1,500
20150000565507,2015000056550702,2,0,19,8,3,1,3,0
20150000565507,2015000056550701,2,1,18,10,3,1,1,9600
20150000565510,2015000056551001,5,0,12,6,4,1,1,70000
20150000565510,2015000056551002,5,1,12,8,4,1,3,30000
20150000565510,2015000056551003,5,0,8,6,4,1,1,40000
20150000565510,2015000056551004,5,1,6,6,4,1,1,22000
20150000565510,2015000056551005,5,1,7,6,4,1,1,16000
20150000565513,2015000056551301,4,1,10,7,3,1,1,58000
20150000565513,2015000056551302,4,0,10,6,3,1,1,70000
20150000565513,2015000056551303,4,1,2,2,3,2,0,0
20150000565513,2015000056551304,4,0,1,1,3,2,0,0
20150000565514,2015000056551401,1,1,13,7,1,1,1,30000
20150000565515,2015000056551501,1,1,6,8,0,2,3,0
20150000565519,2015000056551902,2,1,12,6,1,1,2,0
20150000565519,2015000056551901,2,0,12,6,1,1,1,19500
20150000565522,2015000056552201,2,0,12,6,2,1,1,75000
20150000565522,2015000056552202,2,1,15,5,2,1,1,41600
20150000565525,2015000056552501,1,1,21,7,1,1,3,0
20150000565529,2015000056552901,4,1,12,8,2,1,1,60000
20150000565529,2015000056552902,4,0,12,6,2,1,1,63000
20150000565529,2015000056552903,4,1,3,4,2,2,3,0
20150000565529,2015000056552904,4,0,2,2,2,2,0,0
20150000565532,2015000056553201,2,1,9,11,2,1,1,40000
20150000565532,2015000056553202,2,0,10,11,2,1,1,67000
20150000565536,2015000056553601,2,1,12,10,2,1,1,93000
20150000565536,2015000056553602,2,0,12,10,2,1,1,81000
20150000565537,2015000056553701,1,1,22,11,0,1,3,0
20150000565538,2015000056553801,1,1,16,6,1,1,1,61000
20150000565542,2015000056554201,3,0,14,11,3,1,1,150000
20150000565542,2015000056554202,3,1,13,6,3,1,1,4200
20150000565542,2015000056554203,3,1,7,10,3,2,1,8000
20150000565543,2015000056554301,1,1,19,6,1,1,3,0
20150000565545,2015000056554501,4,0,12,11,3,1,1,84000
20150000565545,2015000056554502,4,1,11,11,3,1,1,482000
20150000565545,2015000056554503,4,0,0,1,3,2,0,0
20150000565545,2015000056554504,4,1,0,0,3,0,0,0
20150000565546,2015000056554601,1,1,9,7,0,1,3,7000
20150000565547,2015000056554701,1,0,4,6,0,2,3,0
20150000565548,2015000056554801,1,0,13,5,0,1,3,0
20150000565549,2015000056554901,1,1,13,10,0,1,3,0
20150000565550,2015000056555002,2,0,21,11,1,1,3,0
20150000565550,2015000056555001,2,1,21,10,1,1,3,0
20150000565553,2015000056555301,1,0,13,6,1,1,1,42000
20150000565560,2015000056556001,1,1,14,7,1,1,1,6000
20150000565565,2015000056556501,1,1,3,3,0,2,3,0
20150000565566,2015000056556601,2,1,19,10,2,1,3,0
20150000565566,2015000056556602,2,1,20,10,2,1,1,15000
20150000565567,2015000056556701,1,0,18,11,0,1,3,70000
20150000565568,2015000056556801,2,0,18,11,2,1,3,16000
20150000565568,2015000056556802,2,1,16,11,2,1,3,0
20150000565571,2015000056557101,3,1,8,6,1,1,1,60000
20150000565571,2015000056557102,3,0,10,6,1,1,1,53000
20150000565571,2015000056557103,3,1,3,2,1,2,0,0
20150000565578,2015000056557802,2,1,13,6,1,1,3,0
20150000565578,2015000056557801,2,1,22,6,1,1,3,0
20150000565579,2015000056557901,3,1,9,11,2,1,1,68000
20150000565579,2015000056557902,3,0,9,10,2,1,1,75000
20150000565579,2015000056557903,3,1,0,0,2,0,0,0
20150000565584,2015000056558401,3,0,8,6,1,1,1,13000
20150000565584,2015000056558402,3,0,1,1,1,2,0,0
20150000565584,2015000056558403,3,0,7,6,1,1,1,36000
20150000565585,2015000056558501,1,1,14,7,2,1,3,0
20150000565589,2015000056558901,1,0,11,5,1,1,1,10600
20150000565590,2015000056559001,1,0,10,10,1,1,1,94250
20150000565591,2015000056559101,2,0,19,6,3,1,3,0
20150000565591,2015000056559102,2,1,19,6,3,1,3,0
20150000565594,2015000056559402,2,0,13,2,2,1,2,0
20150000565594,2015000056559401,2,1,20,2,2,1,3,0
20150000565597,2015000056559701,3,0,14,11,3,1,1,157000
20150000565597,2015000056559702,3,1,13,11,3,1,1,28000
20150000565597,2015000056559703,3,0,7,10,3,2,1,80000
20150000565598,2015000056559801,5,0,22,6,2,1,3,0
20150000565598,2015000056559802,5,1,22,6,2,1,3,0
20150000565598,2015000056559803,5,0,18,7,2,1,3,0
20150000565598,2015000056559804,5,0,16,6,2,1,1,27400
20150000565598,2015000056559805,5,0,15,6,2,1,1,45000
20150000565599,2015000056559901,2,1,13,6,1,1,1,27000
20150000565599,2015000056559902,2,1,6,7,1,2,3,0
20150000565600,2015000056560002,2,1,17,6,1,1,3,0
20150000565600,2015000056560001,2,0,18,8,1,1,1,6500
20150000565602,2015000056560201,1,1,22,6,1,1,3,0
20150000565605,2015000056560501,3,1,10,11,2,1,1,50000
20150000565605,2015000056560502,3,0,8,11,2,2,1,50000
20150000565605,2015000056560503,3,0,0,0,2,0,0,0
20150000565612,2015000056561201,1,0,9,5,0,1,3,0
20150000565615,2015000056561501,1,1,11,11,2,1,1,105000
20150000565618,2015000056561801,4,1,13,11,2,1,1,125000
20150000565618,2015000056561802,4,0,13,10,2,1,2,0
20150000565618,2015000056561803,4,1,2,2,2,2,0,0
20150000565618,2015000056561804,4,1,2,2,2,2,0,0
20150000565621,2015000056562104,4,1,2,2,3,2,0,0
20150000565621,2015000056562102,4,0,12,10,3,1,1,60000
20150000565621,2015000056562101,4,1,11,6,3,1,1,30400
20150000565621,2015000056562103,4,1,3,3,3,2,3,0
20150000565623,2015000056562301,2,0,15,10,3,1,3,0
20150000565623,2015000056562302,2,1,14,7,3,1,3,0
20150000565624,2015000056562401,2,1,9,11,2,1,1,122000
20150000565624,2015000056562402,2,0,10,11,2,1,1,90000
20150000565629,2015000056562901,2,0,8,11,0,1,1,20000
20150000565629,2015000056562902,2,0,8,10,0,2,3,0
20150000565633,2015000056563301,2,0,14,6,0,1,3,0
20150000565633,2015000056563302,2,0,3,3,0,1,0,0
20150000565643,2015000056564301,1,0,22,6,0,1,3,0
20150000565645,2015000056564502,2,1,9,6,2,1,1,25000
20150000565645,2015000056564501,2,0,8,10,2,2,1,65000
20150000565646,2015000056564601,2,0,18,7,2,1,3,0
20150000565646,2015000056564602,2,1,14,6,2,1,3,120
20150000565647,2015000056564701,1,1,17,6,1,1,1,36000
20150000565648,2015000056564801,2,0,12,11,2,1,1,63000
20150000565648,2015000056564802,2,1,11,11,2,1,1,97000
20150000565649,2015000056564901,3,1,9,11,1,1,1,60040
20150000565649,2015000056564902,3,0,1,1,1,2,0,0
20150000565649,2015000056564903,3,1,0,0,1,0,0,0
20150000565651,2015000056565101,1,1,12,8,1,1,1,60000
20150000565655,2015000056565501,1,1,14,8,0,2,3,0
20150000565657,2015000056565702,2,1,1,1,1,2,0,0
20150000565657,2015000056565701,2,1,14,11,1,1,1,52000
20150000565658,2015000056565801,2,0,18,11,1,1,3,1200
20150000565658,2015000056565802,2,1,18,10,1,1,3,0
20150000565659,2015000056565901,1,0,9,7,0,1,3,1000
20150000565661,2015000056566101,4,0,13,11,4,1,1,482000
20150000565661,2015000056566102,4,1,11,8,4,1,3,0
20150000565661,2015000056566103,4,0,4,5,4,2,3,0
20150000565661,2015000056566104,4,1,1,1,4,2,0,0
20150000565662,2015000056566201,3,0,14,6,3,1,1,89000
20150000565662,2015000056566202,3,1,14,7,3,1,1,61000
20150000565662,2015000056566203,3,0,3,5,3,2,2,0
20150000565664,2015000056566404,4,1,1,1,3,1,0,0
20150000565664,2015000056566403,4,0,9,6,3,1,1,34000
20150000565664,2015000056566401,4,0,19,10,3,1,1,35000
20150000565664,2015000056566402,4,1,18,6,3,1,1,24000
20150000565665,2015000056566501,2,1,13,10,1,1,1,50000
20150000565665,2015000056566502,2,1,0,1,1,1,0,0
20150000565666,2015000056566605,5,0,10,6,3,1,2,0
20150000565666,2015000056566601,5,0,14,6,3,1,1,75000
20150000565666,2015000056566602,5,1,13,4,3,1,3,0
20150000565666,2015000056566603,5,1,9,6,3,1,2,0
20150000565666,2015000056566604,5,0,5,6,3,1,3,0
20150000565667,2015000056566701,1,1,2,2,0,2,0,0
20150000565668,2015000056566801,1,1,20,6,1,1,3,0
20150000565669,2015000056566901,1,0,18,6,1,1,3,0
20150000565670,2015000056567001,1,0,13,2,0,1,3,0
20150000565671,2015000056567102,2,1,15,6,2,1,1,45000
20150000565671,2015000056567101,2,0,18,11,2,2,1,82000
20150000565673,2015000056567301,5,0,19,11,2,1,3,0
20150000565673,2015000056567302,5,1,17,11,2,1,3,0
20150000565673,2015000056567303,5,0,10,6,2,2,3,7100
20150000565673,2015000056567304,5,1,11,10,2,1,1,62000
20150000565673,2015000056567305,5,0,1,1,2,2,0,0
20150000565678,2015000056567801,1,0,4,7,0,2,3,0
20150000565681,2015000056568101,3,0,19,11,4,1,3,0
20150000565681,2015000056568102,3,1,15,7,4,1,3,0
20150000565681,2015000056568103,3,0,11,7,4,1,1,70000
20150000565684,2015000056568401,2,1,14,10,1,1,3,0
20150000565684,2015000056568402,2,0,16,8,1,1,1,45000
20150000565686,2015000056568603,3,0,2,2,1,2,0,0
20150000565686,2015000056568601,3,1,10,7,1,1,1,5000
20150000565686,2015000056568602,3,0,3,3,1,2,0,0
20150000565687,2015000056568701,1,1,15,7,0,1,3,0
20150000565689,2015000056568901,2,0,7,7,1,1,1,49600
20150000565689,2015000056568902,2,1,7,6,1,1,3,0
20150000565692,2015000056569201,2,1,18,11,2,1,1,8000
20150000565692,2015000056569202,2,0,10,11,2,1,2,900
20150000565693,2015000056569301,1,1,8,7,1,2,1,40000
20150000565694,2015000056569403,3,0,2,2,2,2,0,0
20150000565694,2015000056569401,3,0,12,11,2,1,1,105000
20150000565694,2015000056569402,3,1,11,11,2,1,3,0
20150000565699,2015000056569903,3,1,8,7,2,2,3,0
20150000565699,2015000056569902,3,1,13,8,2,1,1,12000
20150000565699,2015000056569901,3,0,14,8,2,1,1,100000
20150000565701,2015000056570101,3,0,9,8,2,1,1,16000
20150000565701,2015000056570102,3,1,8,10,2,1,3,0
20150000565701,2015000056570103,3,0,0,0,2,0,0,0
20150000565702,2015000056570201,2,1,13,7,0,2,3,0
20150000565702,2015000056570202,2,1,7,7,0,2,2,6000
20150000565707,2015000056570701,2,0,13,7,2,1,1,125000
20150000565707,2015000056570702,2,1,8,11,2,2,3,0
20150000565708,2015000056570801,1,1,7,7,0,2,3,0
20150000565709,2015000056570901,1,1,18,6,0,1,1,13000
20150000565710,2015000056571002,2,0,3,3,0,2,0,0
20150000565710,2015000056571001,2,1,11,6,0,1,1,30000
20150000565712,2015000056571201,1,0,10,10,0,1,3,0
20150000565716,2015000056571601,2,1,14,11,3,1,1,100000
20150000565716,2015000056571602,2,0,7,10,3,2,1,2000
20150000565718,2015000056571801,3,0,10,6,1,1,1,71000
20150000565718,2015000056571802,3,1,2,2,1,2,0,0
20150000565718,2015000056571803,3,1,2,2,1,2,0,0
20150000565719,2015000056571901,1,1,5,7,0,2,3,0
20150000565720,2015000056572004,4,0,0,0,3,0,0,0
20150000565720,2015000056572001,4,0,11,7,3,1,1,94000
20150000565720,2015000056572002,4,0,11,1,3,1,1,9300
20150000565720,2015000056572003,4,1,10,2,3,1,1,960
20150000565721,2015000056572104,4,0,1,1,1,2,0,0
20150000565721,2015000056572103,4,1,22,6,1,1,3,0
20150000565721,2015000056572102,4,1,10,11,1,1,1,60000
20150000565721,2015000056572101,4,1,16,6,1,1,3,0
20150000565722,2015000056572201,2,1,13,7,1,1,1,32500
20150000565722,2015000056572202,2,1,2,2,1,2,0,0
20150000565725,2015000056572501,2,1,11,6,2,1,1,69000
20150000565725,2015000056572502,2,0,13,8,2,1,3,0
20150000565726,2015000056572601,2,0,20,4,2,1,3,0
20150000565726,2015000056572602,2,1,19,11,2,1,1,19100
20150000565729,2015000056572901,2,1,13,11,2,1,1,106000
20150000565729,2015000056572902,2,0,6,7,2,2,1,2400
20150000565731,2015000056573101,2,1,14,6,1,1,3,0
20150000565731,2015000056573102,2,0,15,4,1,1,1,-6200
20150000565733,2015000056573301,1,0,8,6,1,1,1,48000
20150000565734,2015000056573401,1,1,13,10,1,1,1,60000
20150000565735,2015000056573501,1,1,21,6,0,1,3,0
20150000565736,2015000056573601,1,0,4,7,0,2,3,5000
20150000565738,2015000056573801,1,0,8,6,1,1,1,45000
20150000565739,2015000056573901,5,0,12,6,4,1,1,65000
20150000565739,2015000056573902,5,1,11,7,4,1,1,32000
20150000565739,2015000056573903,5,1,4,6,4,1,1,7500
20150000565739,2015000056573904,5,1,3,5,4,2,3,0
20150000565739,2015000056573905,5,1,17,7,4,1,3,0
20150000565741,2015000056574101,1,1,18,6,1,1,3,0
20150000565743,2015000056574304,4,1,2,2,2,2,0,0
20150000565743,2015000056574303,4,0,3,3,2,2,0,0
20150000565743,2015000056574302,4,0,13,11,2,1,1,106000
20150000565743,2015000056574301,4,1,13,11,2,1,1,28800
20150000565747,2015000056574701,5,0,12,8,2,2,1,81000
20150000565747,2015000056574702,5,1,8,8,2,1,1,55000
20150000565747,2015000056574703,5,0,0,1,2,2,0,0
20150000565747,2015000056574704,5,0,0,0,2,0,0,0
20150000565747,2015000056574705,5,1,0,0,2,0,0,0
20150000565748,2015000056574801,1,0,4,7,0,2,3,0
20150000565749,2015000056574901,2,0,12,6,3,1,1,75000
20150000565749,2015000056574902,2,1,11,8,3,1,1,36600
20150000565752,2015000056575202,3,0,7,7,3,1,1,35000
20150000565752,2015000056575203,3,1,4,7,3,2,1,15000
20150000565752,2015000056575201,3,0,12,4,3,1,1,47000
20150000565753,2015000056575301,2,1,18,11,2,1,3,0
20150000565753,2015000056575302,2,0,18,11,2,1,3,0
20150000565754,2015000056575401,1,1,5,7,0,2,3,0
20150000565756,2015000056575601,5,1,13,7,4,1,1,14900
20150000565756,2015000056575602,5,1,8,8,4,2,1,37000
20150000565756,2015000056575603,5,1,19,6,4,1,3,0
20150000565756,2015000056575604,5,1,1,1,4,2,0,0
20150000565756,2015000056575605,5,0,14,7,4,1,1,82000
20150000565758,2015000056575801,1,1,22,6,1,1,3,0
20150000565759,2015000056575901,2,0,14,10,2,1,1,115000
20150000565759,2015000056575902,2,1,12,10,2,1,1,80000
20150000565767,2015000056576705,5,0,8,6,2,1,1,30400
20150000565767,2015000056576704,5,1,1,1,2,2,0,0
20150000565767,2015000056576702,5,1,8,7,2,1,1,18700
20150000565767,2015000056576703,5,0,2,2,2,2,0,0
20150000565767,2015000056576701,5,0,16,6,2,1,3,0
20150000565769,2015000056576901,1,1,22,10,1,1,3,0
20150000565771,2015000056577101,2,1,19,6,2,1,3,0
20150000565771,2015000056577102,2,0,13,6,2,1,2,16400
20150000565772,2015000056577201,1,1,14,8,0,1,2,0
20150000565774,2015000056577401,2,0,20,6,2,1,3,0
20150000565774,2015000056577402,2,1,18,6,2,1,1,30100
20150000565775,2015000056577501,1,0,16,10,0,1,3,0
20150000565777,2015000056577701,1,0,14,10,1,1,1,165000
20150000565778,2015000056577802,2,1,14,8,3,1,3,0
20150000565778,2015000056577801,2,0,14,11,3,1,1,280000
20150000565780,2015000056578001,2,0,20,11,2,1,1,-200
20150000565780,2015000056578002,2,1,19,6,2,1,3,0
20150000565783,2015000056578301,1,1,15,7,1,1,3,0
20150000565784,2015000056578401,3,1,21,6,2,1,3,0
20150000565784,2015000056578402,3,1,13,7,2,1,1,15000
20150000565784,2015000056578403,3,0,13,8,2,1,1,20000
20150000565785,2015000056578501,1,1,21,6,0,1,3,0
20150000565788,2015000056578803,4,0,4,5,3,2,3,2000
20150000565788,2015000056578801,4,1,12,10,3,1,1,20000
20150000565788,2015000056578802,4,0,12,11,3,1,1,290000
20150000565788,2015000056578804,4,0,3,3,3,2,3,0
20150000565791,2015000056579102,2,1,16,6,2,1,3,9200
20150000565791,2015000056579101,2,0,17,3,2,1,1,1500
20150000565794,2015000056579401,10,0,19,11,3,1,1,15000
20150000565794,2015000056579402,10,1,18,6,3,1,3,0
20150000565794,2015000056579403,10,1,10,10,3,1,1,17000
20150000565794,2015000056579404,10,1,2,3,3,2,0,0
20150000565794,2015000056579405,10,0,2,2,3,2,0,0
20150000565794,2015000056579406,10,0,2,1,3,2,0,0
20150000565794,2015000056579407,10,1,2,2,3,2,0,0
20150000565794,2015000056579408,10,0,0,0,3,2,0,0
20150000565794,2015000056579409,10,0,0,0,3,0,0,0
20150000565794,2015000056579410,10,0,11,10,3,1,1,40000
20150000565795,2015000056579502,2,0,20,6,3,1,3,0
20150000565795,2015000056579501,2,1,20,11,3,1,3,0
20150000565796,2015000056579601,2,1,22,7,1,1,3,0
20150000565796,2015000056579602,2,0,14,6,1,1,3,0
20150000565797,2015000056579701,4,0,10,11,2,1,1,63000
20150000565797,2015000056579702,4,1,11,10,2,2,1,43000
20150000565797,2015000056579703,4,0,1,1,2,2,0,0
20150000565797,2015000056579704,4,0,0,0,2,0,0,0
20150000565802,2015000056580201,2,0,20,7,2,1,3,0
20150000565802,2015000056580202,2,1,20,7,2,1,3,0
20150000565806,2015000056580601,2,1,14,11,1,1,1,22500
20150000565806,2015000056580602,2,0,14,10,1,1,1,28000
20150000565808,2015000056580801,1,1,10,5,0,1,3,0
20150000565810,2015000056581001,1,1,17,6,0,1,3,0
20150000565812,2015000056581203,3,1,7,11,3,2,1,2100
20150000565812,2015000056581201,3,0,15,10,3,1,3,0
20150000565812,2015000056581202,3,1,14,10,3,1,1,125000
20150000565814,2015000056581401,3,0,9,11,1,1,1,97000
20150000565814,2015000056581402,3,1,9,11,1,1,2,6000
20150000565814,2015000056581403,3,1,0,0,1,1,0,0
20150000565815,2015000056581501,1,0,4,7,0,2,3,0
20150000565816,2015000056581601,1,1,21,6,1,1,3,0
20150000565821,2015000056582101,2,0,14,11,4,1,1,75000
20150000565821,2015000056582102,2,1,14,10,4,1,3,16000
20150000565822,2015000056582203,3,1,10,10,3,1,1,135000
20150000565822,2015000056582202,3,0,18,11,3,1,3,0
20150000565822,2015000056582201,3,1,19,11,3,1,3,0
20150000565824,2015000056582401,1,0,8,10,1,1,1,33000
20150000565826,2015000056582601,7,1,10,7,4,2,1,26000
20150000565826,2015000056582602,7,0,4,6,4,2,1,400
20150000565826,2015000056582603,7,1,4,6,4,2,1,250
20150000565826,2015000056582604,7,1,2,2,4,2,0,0
20150000565826,2015000056582605,7,1,2,1,4,2,0,0
20150000565826,2015000056582606,7,1,0,1,4,1,0,0
20150000565826,2015000056582607,7,1,0,0,4,0,0,0
20150000565828,2015000056582805,5,0,0,0,0,0,0,0
20150000565828,2015000056582803,5,1,1,1,0,2,0,0
20150000565828,2015000056582804,5,1,3,3,0,2,0,0
20150000565828,2015000056582801,5,1,9,8,0,1,1,27000
20150000565828,2015000056582802,5,1,3,2,0,2,0,0
20150000565833,2015000056583301,3,0,13,6,2,1,1,45000
20150000565833,2015000056583302,3,1,13,7,2,1,1,55000
20150000565833,2015000056583303,3,1,1,1,2,1,0,0
20150000565835,2015000056583501,4,0,9,6,2,1,1,38000
20150000565835,2015000056583502,4,1,10,6,2,1,1,25000
20150000565835,2015000056583503,4,1,14,6,2,1,1,28000
20150000565835,2015000056583504,4,0,12,6,2,1,2,0
20150000565836,2015000056583603,4,1,1,0,2,2,0,0
20150000565836,2015000056583604,4,1,0,0,2,1,0,0
20150000565836,2015000056583602,4,0,11,11,2,1,1,106000
20150000565836,2015000056583601,4,1,10,11,2,1,3,7000
20150000565838,2015000056583801,5,1,12,7,2,1,1,38000
20150000565838,2015000056583802,5,0,12,5,2,1,1,32000
20150000565838,2015000056583803,5,0,7,6,2,1,3,0
20150000565838,2015000056583804,5,0,5,6,2,1,3,0
20150000565838,2015000056583805,5,1,3,3,2,2,3,0
20150000565840,2015000056584001,1,0,5,7,0,2,3,0
20150000565841,2015000056584101,2,0,14,11,4,2,1,482000
20150000565841,2015000056584102,2,1,14,11,4,2,3,0
20150000565842,2015000056584201,2,1,18,8,4,1,1,40000
20150000565842,2015000056584202,2,1,22,6,4,1,3,0
20150000565850,2015000056585001,2,0,10,7,3,1,1,80000
20150000565850,2015000056585002,2,1,9,7,3,1,1,35000
20150000565852,2015000056585205,5,1,1,1,2,2,0,0
20150000565852,2015000056585203,5,1,2,2,2,2,0,0
20150000565852,2015000056585204,5,1,2,2,2,2,0,0
20150000565852,2015000056585202,5,1,10,10,2,1,1,17600
20150000565852,2015000056585201,5,0,11,6,2,1,1,14400
20150000565853,2015000056585301,1,1,16,8,1,1,1,80000
20150000565854,2015000056585401,2,1,12,6,1,1,1,30000
20150000565854,2015000056585402,2,0,12,6,1,1,1,22000
20150000565855,2015000056585501,2,1,13,10,2,1,1,80000
20150000565855,2015000056585502,2,0,14,6,2,1,3,0
20150000565858,2015000056585801,3,1,13,7,2,1,1,39000
20150000565858,2015000056585802,3,0,7,6,2,1,3,0
20150000565858,2015000056585803,3,0,12,6,2,1,3,0
20150000565860,2015000056586004,4,0,3,3,3,2,0,0
20150000565860,2015000056586003,4,0,3,5,3,2,1,1200
20150000565860,2015000056586002,4,0,13,7,3,1,1,45000
20150000565860,2015000056586001,4,1,12,7,3,1,1,18900
20150000565863,2015000056586301,1,0,5,6,0,2,3,0
20150000565864,2015000056586401,1,1,19,11,1,1,1,100000
20150000565867,2015000056586701,1,1,4,7,0,2,3,600
20150000565869,2015000056586901,1,1,16,10,1,1,1,66000
20150000565870,2015000056587001,1,0,10,11,1,1,1,50000
20150000565872,2015000056587201,3,0,17,10,1,1,3,0
20150000565872,2015000056587202,3,1,11,6,1,1,3,0
20150000565872,2015000056587203,3,1,3,5,1,2,3,0
20150000565874,2015000056587402,3,0,9,3,2,1,1,83000
20150000565874,2015000056587403,3,0,0,0,2,0,0,0
20150000565874,2015000056587401,3,1,8,3,2,1,3,0
20150000565876,2015000056587601,6,1,15,7,4,1,1,75000
20150000565876,2015000056587602,6,1,11,6,4,2,1,10000
20150000565876,2015000056587603,6,0,7,6,4,1,1,12000
20150000565876,2015000056587604,6,0,4,5,4,1,3,0
20150000565876,2015000056587605,6,0,2,1,4,1,0,0
20150000565876,2015000056587606,6,1,6,4,4,1,1,9500
20150000565877,2015000056587701,3,0,13,6,2,1,1,30400
20150000565877,2015000056587702,3,1,14,4,2,1,2,410
20150000565877,2015000056587703,3,1,3,4,2,2,0,0
20150000565881,2015000056588101,1,0,12,3,0,1,3,0
20150000565885,2015000056588501,1,1,19,4,0,1,3,0
20150000565886,2015000056588602,2,1,13,10,2,1,1,40600
20150000565886,2015000056588601,2,0,16,11,2,1,1,253000
20150000565890,2015000056589001,2,1,14,2,1,1,3,0
20150000565890,2015000056589002,2,0,13,4,1,1,3,0
20150000565893,2015000056589301,5,1,10,11,3,1,1,60000
20150000565893,2015000056589302,5,0,10,11,3,1,1,50000
20150000565893,2015000056589303,5,0,2,2,3,2,0,0
20150000565893,2015000056589304,5,0,1,1,3,2,0,0
20150000565893,2015000056589305,5,1,1,1,3,2,0,0
20150000565894,2015000056589402,3,0,5,6,0,1,1,30000
20150000565894,2015000056589403,3,0,3,2,0,2,3,0
20150000565894,2015000056589401,3,1,11,6,0,1,1,21000
20150000565898,2015000056589801,1,1,6,7,0,2,3,0
20150000565899,2015000056589902,2,1,13,6,2,1,1,18200
20150000565899,2015000056589901,2,0,13,8,2,1,1,68000
20150000565900,2015000056590001,2,1,18,7,2,1,1,55000
20150000565900,2015000056590002,2,0,12,6,2,1,1,21000
20150000565901,2015000056590101,4,1,9,10,2,1,1,91000
20150000565901,2015000056590102,4,0,9,10,2,1,1,50000
20150000565901,2015000056590103,4,0,1,1,2,2,0,0
20150000565901,2015000056590104,4,1,0,0,2,0,0,0
20150000565902,2015000056590201,2,1,20,6,2,1,3,0
20150000565902,2015000056590202,2,0,21,6,2,1,3,0
20150000565903,2015000056590302,2,1,14,7,2,1,3,0
20150000565903,2015000056590301,2,0,14,10,2,2,1,108000
20150000565904,2015000056590401,1,1,19,8,1,1,3,0
20150000565905,2015000056590501,4,0,19,7,3,1,3,0
20150000565905,2015000056590502,4,1,16,6,3,1,3,0
20150000565905,2015000056590503,4,0,8,10,3,2,3,0
