GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
0500000US24021,24021,"Frederick County, Maryland",243465,*****,238841,423,206888,1342,64219,810,36351,789,27868,727,50597,793,75009,923,70732,1051,1807,297,2470,363,4186,505,1734,255,2009,333,958,167,886,178,2380,493,4910,562,331,121,1114,390,2208,334,46,43,1211,210,31953,1240,24776,768,11289,517,8376,501,2913,351,13487,588,11054,531,2433,302,7177,709,838,242,2064,427,3041,345,4,6,1230,296,4624,423
0500000US24023,24023,"Garrett County, Maryland",29677,*****,29081,172,25010,379,8177,327,4381,302,3796,314,6618,310,8427,368,8026,384,185,70,216,124,521,166,167,60,300,119,94,54,53,36,95,52,558,205,0,22,29,27,261,111,42,59,226,110,4071,312,3467,279,1629,193,1395,183,234,78,1838,175,1684,173,154,64,604,176,156,128,125,82,169,78,0,22,154,78,596,172
0500000US24025,24025,"Harford County, Maryland",249776,*****,247825,420,216040,1324,66516,879,36121,951,30395,910,52116,956,77957,1101,72347,1176,1975,327,3635,449,5394,633,1565,308,2900,465,1156,287,1005,219,2452,397,4979,565,300,166,529,209,2187,371,174,78,1789,339,31785,1269,25981,927,11576,724,9016,676,2560,299,14405,600,12466,561,1939,264,5804,556,418,177,1452,354,3032,373,16,27,886,255,1951,420
0500000US24027,24027,"Howard County, Maryland",308447,*****,306314,351,271421,1228,82123,820,47176,868,34947,845,66393,883,100642,1364,96535,1477,2198,387,1909,380,3849,523,2626,474,5019,455,1755,346,985,193,3794,644,4235,672,554,256,668,174,1205,285,214,186,1594,335,34893,1234,27749,760,12216,641,9461,607,2755,369,15533,664,13164,661,2369,290,7144,843,898,584,2792,520,2636,301,18,29,800,228,2133,351
0500000US24029,24029,"Kent County, Maryland",19819,*****,18185,193,14366,425,4654,239,2485,186,2169,205,3636,203,4576,374,4203,374,193,92,180,96,605,210,60,40,88,64,68,73,205,92,118,77,356,127,74,63,29,40,148,73,3,5,102,93,3819,429,3029,304,1311,206,1102,202,209,73,1718,205,1490,206,228,115,790,269,43,54,312,193,242,92,0,19,193,128,1634,193
0500000US24031,24031,"Montgomery County, Maryland",1026371,*****,1017584,606,874536,2898,256128,1909,145532,1951,110596,1776,198278,2141,320589,2754,305427,2672,7023,635,8139,795,13592,1010,13542,971,16970,1170,4972,578,3358,417,21158,1504,25949,1664,3893,845,5767,1017,7224,652,193,125,8872,1008,143048,2788,111636,1753,43844,1127,33661,937,10183,757,67792,1431,57869,1320,9923,628,31412,1655,3660,779,13187,1199,9930,633,68,69,4567,662,8787,606
0500000US24033,24033,"Prince George's County, Maryland",897693,*****,878800,768,742006,2568,202160,1706,92063,1456,110097,1714,120000,1876,279483,2353,263029,2582,4799,553,11655,994,31125,1233,19747,1128,16748,1050,3689,493,4993,456,31449,2051,32612,1535,4372,784,8280,976,11609,685,492,210,7859,802,136794,2526,104551,1566,46066,1154,36415,1182,9651,602,58485,1354,50622,1412,7863,521,32243,1728,4121,798,15612,1370,7402,544,89,70,5019,689,18893,768
0500000US24035,24035,"Queen Anne's County, Maryland",48712,*****,48248,181,42578,519,13162,411,7116,387,6046,407,10909,440,14670,454,13776,464,310,131,584,183,868,209,502,184,416,142,242,150,173,76,499,181,1137,255,72,54,247,177,426,131,0,25,392,156,5670,511,4623,358,1970,270,1598,226,372,101,2653,248,2230,234,423,118,1047,225,51,44,275,152,564,140,0,25,157,99,464,181
0500000US24037,24037,"St. Mary's County, Maryland",110675,*****,107805,381,93169,1182,27876,621,15163,709,12713,697,21970,736,34373,952,31127,1015,1076,333,2170,485,2157,431,1161,330,830,301,331,131,385,135,1702,477,2384,454,225,130,201,158,1006,249,102,108,850,320,14636,1164,11102,578,5901,398,4513,401,1388,314,5201,452,4351,383,850,204,3534,773,656,394,878,335,1405,271,0,28,595,399,2870,381
0500000US24039,24039,"Somerset County, Maryland",25899,*****,19327,1783,15478,1636,5147,653,2316,513,2831,302,3171,344,4949,512,4806,492,0,22,143,71,853,230,315,227,179,84,47,46,4,6,314,154,499,195,34,55,43,53,217,123,0,22,205,96,3849,499,3181,393,1399,361,1147,315,252,122,1782,256,1504,199,278,155,668,211,210,154,113,79,252,99,0,22,93,90,6572,1783
0500000US24041,24041,"Talbot County, Maryland",37668,*****,37269,161,30739,528,11001,370,5968,298,5033,362,8327,362,8992,396,8588,407,153,81,251,136,582,161,235,101,325,118,113,73,93,52,299,136,772,215,58,62,138,89,359,128,0,25,217,122,6530,529,5480,394,2187,300,1762,257,425,146,3293,333,2814,259,479,171,1050,215,30,34,140,88,693,201,27,41,160,90,399,161
0500000US24043,24043,"Washington County, Maryland",149571,*****,140713,562,118154,1077,37610,661,19873,696,17737,662,27699,749,40979,1013,37732,1026,1304,396,1943,356,3346,531,930,205,1386,318,295,108,507,142,1624,362,3778,462,263,157,336,121,1922,273,68,48,1189,295,22559,938,18484,585,8629,488,6958,446,1671,342,9855,491,8217,413,1638,276,4075,537,341,157,379,120,2264,334,151,164,940,271,8858,562
0500000US24045,24045,"Wicomico County, Maryland",101527,*****,97425,379,79283,1018,24539,576,12866,525,11673,616,17441,556,29132,929,27220,1021,877,427,1035,260,2081,435,1072,276,829,230,265,97,187,109,1129,333,2608,438,83,66,375,234,1457,261,6,9,687,222,18142,955,12631,575,5369,392,3885,379,1484,258,7262,508,5672,433,1590,318,5511,686,215,139,2985,633,1390,283,11,18,910,385,4102,379
0500000US24047,24047,"Worcester County, Maryland",51441,*****,50688,160,40907,766,13421,437,7472,415,5949,403,10340,408,13430,590,12705,617,219,105,506,185,1063,233,413,178,628,211,111,77,133,91,395,189,973,235,202,124,144,80,384,114,0,28,243,124,9781,732,7589,521,3099,343,2439,311,660,178,4490,351,3939,289,551,124,2192,426,448,271,595,215,826,187,0,28,323,162,753,160
0500000US24510,24510,"Baltimore city, Maryland",621000,*****,596742,1149,439904,2620,124615,1413,45471,1250,79144,1476,58891,1393,172608,2488,164103,2514,3565,569,4940,554,27063,1460,12803,992,7674,688,795,297,1883,327,15437,1149,18135,1188,2223,387,2903,547,7012,469,514,191,5483,735,156838,2572,117801,1547,52239,1155,39956,956,12283,638,65562,1096,54498,1094,11064,645,39037,1654,4274,597,18226,1048,10636,674,197,148,5704,741,24258,1149
