GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
0500000US24021,24021,"Frederick County, Maryland",127027,1066,114455,1174,73915,1214,40540,1166,12572,627,67950,698,59187,841,35757,753,23430,689,8763,525,59077,815,55268,791,38158,846,17110,742,3809,320
0500000US24023,24023,"Garrett County, Maryland",13790,446,11974,448,10385,468,1589,222,1816,271,7424,249,6184,269,5283,258,901,178,1240,192,6366,339,5790,343,5102,360,688,109,576,139
0500000US24025,24025,"Harford County, Maryland",127349,1331,123237,1271,71526,1446,51711,1203,4112,343,66611,733,63608,766,35669,1000,27939,820,3003,292,60738,957,59629,926,35857,847,23772,845,1109,209
0500000US24027,24027,"Howard County, Maryland",164257,1201,150703,1363,68392,1642,82311,1493,13554,762,86149,972,77442,963,32946,1111,44496,919,8707,599,78108,877,73261,1029,35446,1099,37815,1021,4847,389
0500000US24029,24029,"Kent County, Maryland",8919,331,7819,363,6005,377,1814,202,1100,185,4557,238,3957,250,2831,283,1126,188,600,140,4362,239,3862,259,3174,268,688,135,500,114
0500000US24031,24031,"Montgomery County, Maryland",537814,2525,384737,2809,324558,3249,60179,1607,153077,2345,279187,1724,191930,1962,155083,2316,36847,1342,87257,1514,258627,1645,192807,2158,169475,2198,23332,858,65820,1607
0500000US24033,24033,"Prince George's County, Maryland",462632,2322,272117,3142,180420,2725,91697,1941,190515,2472,230014,1672,139921,2154,91869,1892,48052,1412,90093,1648,232618,1711,132196,1853,88551,1622,43645,1143,100422,1735
0500000US24035,24035,"Queen Anne's County, Maryland",25058,525,23062,610,10248,624,12814,667,1996,250,13099,333,11708,400,4860,358,6848,413,1391,199,11959,402,11354,414,5388,454,5966,422,605,134
0500000US24037,24037,"St. Mary's County, Maryland",55157,1014,51517,1032,40822,1055,10695,680,3640,495,30251,599,28268,601,21741,680,6527,506,1983,283,24906,702,23249,719,19081,735,4168,430,1657,362
0500000US24039,24039,"Somerset County, Maryland",8013,1274,7536,1199,4171,652,3365,664,477,147,3865,1185,3600,1094,1958,589,1642,580,265,124,4148,360,3936,377,2213,280,1723,263,212,84
0500000US24041,24041,"Talbot County, Maryland",17383,516,16418,524,12174,501,4244,399,965,187,8771,291,8118,316,5743,367,2375,315,653,136,8612,358,8300,357,6431,323,1869,235,312,99
0500000US24043,24043,"Washington County, Maryland",65935,964,58109,1090,43517,1083,14592,869,7826,540,34117,707,29344,813,20694,777,8650,621,4773,428,31818,637,28765,708,22823,760,5942,455,3053,329
0500000US24045,24045,"Wicomico County, Maryland",47925,1065,43920,1068,35821,1022,8099,628,4005,589,23341,728,20825,780,16559,726,4266,433,2516,378,24584,699,23095,759,19262,730,3833,426,1489,359
0500000US24047,24047,"Worcester County, Maryland",23365,681,20958,725,16372,671,4586,357,2407,319,11980,421,10452,470,8112,478,2340,253,1528,240,11385,452,10506,444,8260,430,2246,300,879,202
0500000US24510,24510,"Baltimore city, Maryland",270104,2410,261900,2482,167000,2038,94900,2034,8204,645,126976,1797,122024,1765,75338,1696,46686,1363,4952,460,143128,1672,139876,1762,91662,1532,48214,1474,3252,398
