sla_address_id,resident_workers,residential_students,total_population
38514,68,84,100
38160,63,87,102
43033,336,380,505
45765,346,391,490
36889,296,357,487
39531,76,74,106
43638,78,86,106
44491,55,73,94
42519,62,81,98
44337,76,76,113
37526,56,67,92
41174,70,76,103
44574,63,72,93
34700,59,74,103
39504,57,70,98
48841,73,80,106
40890,50,72,89
44482,8,11,17
39689,65,78,94
33816,325,373,509
46159,80,81,106
39365,68,78,101
43739,65,79,100
44944,78,75,100
34520,65,79,104
38912,72,77,101
41133,358,371,530
39992,66,76,99
46309,62,75,104
40709,342,393,492
43148,66,73,94
38705,329,399,499
46550,72,71,106
42265,71,81,108
49425,75,69,97
49692,64,80,106
38892,355,392,507
37646,61,80,96
36666,11,12,17
42277,72,83,103
46420,324,393,489
39515,353,392,535
43123,10,17,17
40702,336,370,497
43864,76,83,111
49497,74,73,100
42035,79,81,106
37394,51,69,95
42907,74,78,99
43158,309,381,482
38690,62,81,95
41756,70,74,97
40712,71,82,107
42915,77,75,111
39859,71,82,98
46441,334,347,498
44968,78,81,109
40103,361,385,514
39203,81,92,103
38704,326,363,498
47471,347,390,490
40873,56,75,102
41281,67,81,105
38158,343,388,514
49630,59,73,91
38681,70,76,100
38905,66,84,100
41273,71,83,109
38854,77,82,113
37081,330,375,491
43625,77,80,105
45774,307,377,481
37201,85,92,110
46157,66,77,95
44117,63,79,104
42351,59,77,93
49152,69,81,105
34713,327,374,492
45898,334,375,497
41778,77,83,103
39648,342,382,514
46158,64,76,103
38111,63,76,91
47918,61,77,98
49284,61,84,104
47981,80,88,109
40278,71,86,105
39947,352,375,522
43609,76,73,107
41407,75,74,109
37679,78,82,111
37523,57,71,98
49351,60,78,99
41166,77,86,108
38124,74,89,106
38496,78,84,111
42878,79,87,111
44850,340,377,511
36171,82,79,116
49119,8,12,17
40015,67,80,95
45766,342,387,514
40295,62,77,98
39521,361,390,528
44818,66,80,104
44820,59,81,96
45769,71,90,108
49708,73,76,104
42143,65,73,98
43161,356,379,506
38507,326,374,483
37501,75,82,106
47142,325,380,483
40268,62,68,98
49225,356,377,498
47787,77,85,112
40416,314,370,490
41314,71,80,107
42783,69,77,94
41194,78,82,105
41435,72,77,104
41405,74,79,104
37948,68,77,109
47843,68,75,99
38885,336,379,512
39068,56,75,95
42001,60,76,93
44815,65,76,93
40589,67,77,98
49329,77,73,104
45875,86,96,111
39714,71,76,106
40716,65,80,97
35254,332,374,491
39520,327,372,493
49766,69,78,105
38687,354,401,513
35435,73,86,107
40263,351,399,518
40467,74,82,111
46039,342,387,495
39983,74,78,108
42771,318,378,483
42646,69,55,103
47363,351,389,512
37545,60,71,87
49650,63,80,98
40096,330,390,509
40307,72,92,114
38313,327,382,497
39079,338,363,529
46793,350,403,516
35433,321,381,491
36334,81,78,116
47123,13,14,18
45658,68,82,104
45876,79,81,111
40888,68,73,96
44615,60,77,101
43012,63,89,102
42728,321,363,482
45073,304,366,486
40453,65,76,97
47260,327,351,493
42919,67,71,98
41543,79,78,105
44849,319,392,483
47278,71,78,102
37971,67,81,100
48297,73,92,116
48668,12,12,17
48331,17,9,19
44581,62,86,105
45889,331,366,499
43154,82,75,117
45768,77,75,105
44835,61,80,101
44348,74,71,104
41315,58,79,92
42141,80,85,101
46043,74,82,111
38700,353,398,504
41540,61,80,99
42278,82,82,111
46554,72,70,97
38132,72,84,113
44834,64,87,113
41914,65,84,102
47909,66,73,104
35621,356,408,512
40875,69,79,97
44244,65,77,100
39712,59,73,105
48963,86,84,114
49737,8,11,11
46427,67,68,102
40892,72,71,107
40761,71,81,102
40833,65,85,102
44249,59,75,98
40730,75,92,105
42136,69,87,110
34349,68,73,97
48739,326,371,486
43385,68,80,100
39702,70,76,101
37232,367,384,537
38864,63,68,93
49365,74,87,111
41165,77,79,105
35984,66,81,109
39649,352,382,507
48999,70,86,102
49149,58,78,92
48085,64,76,95
44210,342,381,506
45420,12,17,18
33443,369,426,525
43023,70,85,105
41916,73,66,96
43149,74,80,105
39691,73,73,106
49207,73,69,105
46545,7,8,13
44075,11,13,16
33815,347,375,512
40850,364,381,520
45638,345,408,512
37694,316,369,514
35431,66,74,103
39249,350,411,511
43507,64,65,96
46150,73,79,103
44247,62,77,91
47783,63,79,100
45426,66,85,112
48400,11,12,16
46685,66,68,98
49632,16,12,19
46303,340,389,501
40984,323,394,494
34186,335,389,490
44462,86,79,105
43641,341,383,509
48694,9,9,14
39384,69,86,102
43162,321,368,505
47769,66,67,96
47241,11,13,14
40250,350,397,519
35438,10,13,15
42118,12,15,16
44981,71,72,106
42641,62,76,105
47364,359,419,521
44813,72,80,109
42116,62,70,96
45412,63,74,98
48587,7,9,10
39052,297,376,498
49710,12,13,20
41164,61,83,98
35249,63,83,103
47889,64,65,95
37960,339,368,509
37936,324,377,502
47913,68,87,109
48040,56,73,98
36835,65,73,108
43606,348,386,490
35981,77,81,105
40280,67,84,106
46416,62,73,89
46021,78,77,102
45886,80,85,107
40018,63,77,101
40763,66,78,99
47358,325,369,475
48036,7,9,12
41021,65,70,106
49424,62,74,95
46009,75,77,107
42386,78,82,101
37643,66,72,108
41188,73,76,105
41047,89,97,119
49431,8,10,16
37818,65,79,96
38895,66,84,97
49281,9,9,15
46177,341,387,511
38518,63,82,101
39248,365,425,533
46903,9,11,13
43750,79,85,110
48408,11,14,16
39359,331,377,498
37229,75,82,104
41269,60,73,95
42779,65,75,101
43607,318,370,479
47481,80,82,102
40558,321,372,498
38290,59,70,85
47549,77,86,104
40614,70,81,101
42394,63,71,100
41787,77,84,107
47242,70,82,113
41421,59,81,98
40749,61,74,94
42660,67,82,101
46908,341,376,492
46013,69,86,98
47700,78,87,103
37972,63,73,107
40572,54,67,93
38281,66,90,108
42773,65,85,103
47162,66,79,102
38139,68,74,99
48811,69,76,99
40620,41,65,90
42350,63,83,102
36172,328,381,499
43874,68,90,109
37357,67,81,106
36522,72,85,102
47692,13,15,19
40738,62,69,98
38691,71,78,101
44495,6,11,13
41423,63,78,100
43006,67,77,105
41998,326,389,500
43139,72,79,100
38310,58,76,102
48437,76,93,108
46573,63,80,101
49032,7,11,14
43636,75,74,105
46155,65,80,99
49436,77,80,107
47353,61,78,100
35414,73,84,110
36161,72,82,106
46803,73,81,105
44215,319,387,482
44209,327,398,499
39040,60,82,100
35616,65,82,101
43157,357,406,504
42877,64,95,115
46288,63,80,105
40607,79,91,112
46160,56,77,105
40147,68,69,98
38128,69,78,102
39372,361,386,524
39988,67,71,101
48034,59,75,97
38538,83,84,118
42910,329,398,501
43605,300,377,473
49382,70,76,104
44085,349,377,513
41539,68,81,110
41290,59,68,101
42476,345,385,503
48742,8,15,15
47473,351,389,509
37786,352,383,519
47141,322,394,500
40543,340,368,500
41189,69,70,107
42653,334,391,490
37807,63,76,105
37654,71,77,116
40149,78,78,107
41992,360,394,516
40983,63,76,101
39232,357,384,536
40759,62,77,102
49653,69,83,97
43163,60,80,102
48114,11,16,18
44080,79,75,112
48171,63,78,97
39030,75,70,116
49003,80,91,117
48438,63,78,97
39367,70,84,103
41396,63,93,103
36151,73,79,104
47255,82,82,120
44081,328,363,488
38115,335,380,509
38321,73,81,102
38156,59,82,98
40597,55,79,100
48665,10,14,18
48856,69,76,108
49324,9,13,18
35240,60,76,94
39241,319,381,493
39502,61,75,99
49291,70,73,106
44076,345,372,499
49434,9,16,17
39020,76,86,116
41548,68,93,111
40004,68,82,105
39993,70,84,101
38509,81,87,118
38325,74,82,99
39218,348,386,517
45194,9,11,17
49055,10,10,17
35991,329,364,502
47263,317,367,503
38295,58,70,96
42513,63,73,95
39507,81,81,110
45425,75,87,108
44964,12,13,16
38701,72,76,97
43486,11,15,18
36350,66,80,122
36163,75,88,111
46696,353,391,515
47156,68,77,104
49711,13,11,22
38710,328,377,510
40423,73,92,113
39679,82,78,112
43959,62,74,100
46410,73,70,106
39971,70,82,100
38497,71,84,109
39655,74,91,108
45200,63,83,98
49535,16,21,23
40755,74,88,109
40430,61,63,100
46025,325,370,493
44082,337,372,500
35236,66,71,96
42629,70,80,108
35791,68,73,104
46767,7,12,16
48417,65,78,99
38511,69,82,105
40014,72,87,111
47015,75,79,113
43522,337,363,508
42153,66,80,95
37967,69,75,113
41774,58,73,92
38125,84,76,119
43248,71,85,107
42531,67,84,104
39807,331,379,496
40318,63,77,98
43146,79,89,103
44590,72,81,109
49599,7,12,12
33630,333,372,505
42527,57,79,92
45780,64,86,102
39817,57,69,98
45908,326,365,500
43733,51,72,98
34346,65,65,98
42751,4,5,7
47685,75,88,108
44119,68,74,101
36335,61,84,104
39396,330,373,484
40413,77,78,101
42761,72,77,104
44356,87,84,111
34712,356,378,509
38879,61,72,99
45408,69,88,112
40889,83,84,111
39867,66,79,97
46440,70,95,109
45530,359,392,526
44129,52,73,94
45547,62,69,93
38508,76,76,113
49331,63,82,95
40472,68,78,106
39697,79,92,109
37791,68,78,99
47354,72,78,109
43956,58,72,103
48328,60,78,93
37234,332,382,496
37066,77,85,100
49112,324,371,501
47150,67,73,97
40593,58,83,97
47646,73,84,101
40546,340,361,495
49383,73,86,109
49508,11,14,16
44497,15,20,22
49033,56,79,93
42912,72,90,109
41020,61,78,105
39516,332,378,504
44079,77,86,107
45163,69,79,103
44975,356,406,507
38886,342,400,511
49610,75,74,113
38483,66,78,102
47369,75,83,100
41036,68,83,109
44235,78,86,116
49457,65,77,106
44099,71,86,105
39840,60,76,97
48042,64,80,96
39080,333,395,520
49441,6,11,14
41005,77,73,108
39058,322,386,504
36514,72,84,101
45905,71,72,109
38680,78,89,111
39517,70,76,112
41661,77,82,109
42344,352,398,501
38904,64,83,98
44463,67,79,104
43598,15,15,20
49618,63,89,100
38345,62,72,102
36697,58,76,97
48853,63,81,101
40287,67,82,99
49624,11,14,19
42905,316,364,480
48663,68,75,100
45756,74,83,106
46414,62,84,101
47146,349,387,505
36348,76,82,107
38502,63,75,98
35798,67,77,107
48743,68,74,105
37389,338,392,505
41525,71,77,101
40414,328,381,475
44702,59,71,99
48380,74,80,104
40151,74,83,104
42480,65,72,104
49750,69,85,102
46561,59,79,92
47030,363,387,529
45433,77,86,108
39267,65,82,100
42500,13,15,20
42995,66,81,108
39658,10,12,12
42637,61,82,101
49200,9,13,13
45197,53,66,95
49369,75,79,109
38675,63,80,93
44375,68,79,105
45637,342,353,488
39082,63,82,104
42346,334,386,509
33818,326,381,511
46038,358,391,521
45758,65,79,104
44841,70,83,109
45884,71,82,108
37226,68,71,102
44083,342,380,484
38337,59,83,98
42884,70,74,109
47145,346,393,504
34005,74,84,99
42524,65,88,103
49765,71,82,95
46556,56,71,92
44580,82,83,107
38899,330,381,503
49259,56,74,90
48520,59,82,105
42755,57,76,94
47720,57,77,110
42778,60,79,93
41196,65,81,110
46274,79,79,106
43967,62,72,94
46024,64,80,101
37378,69,79,107
46683,71,81,103
38547,68,77,110
43253,66,65,98
38118,76,86,109
41122,70,83,107
48907,11,14,20
39494,74,85,111
40117,351,414,523
42902,58,78,102
42661,56,73,90
37980,376,401,541
46562,330,390,503
38301,70,80,100
35246,64,77,104
47767,64,74,102
48069,6,10,12
42388,65,75,101
48850,56,76,97
46919,62,69,106
38908,90,82,117
46156,62,75,105
43141,63,66,100
44618,11,15,16
46162,65,77,97
44605,64,69,103
37959,12,14,17
48970,75,85,102
41316,74,79,102
46686,63,80,104
41518,62,71,102
38351,68,79,111
38501,65,78,98
41762,54,68,94
48398,8,10,17
47539,68,84,99
38668,58,73,92
47122,9,19,21
48781,11,15,15
48802,65,76,109
40134,61,81,101
41157,70,77,102
46017,61,83,107
37781,12,12,17
44084,72,82,101
41046,75,89,103
38525,68,72,98
38312,66,77,93
48633,55,82,102
37374,75,79,107
40682,64,79,105
41398,61,76,98
41026,66,75,104
41758,66,68,95
44608,73,83,106
40133,65,81,103
48045,61,76,98
48877,6,11,13
47854,67,82,102
39263,68,76,103
43597,78,80,117
47023,58,65,95
42523,64,72,101
41048,75,76,107
40177,80,90,110
39213,64,79,100
48857,66,86,103
41913,68,90,103
40594,65,74,104
38307,8,11,14
37506,331,391,503
48443,9,14,17
40425,68,88,106
43408,61,82,96
47000,8,9,16
41991,315,380,491
37366,12,15,17
37811,73,76,103
43010,61,76,91
40457,71,89,107
40166,66,87,102
41893,69,81,95
48072,6,12,14
39222,71,81,105
47546,63,81,95
39059,77,80,109
43642,327,370,507
37223,319,362,499
40104,317,368,494
38718,73,83,103
48966,66,77,95
48652,7,13,16
48973,16,14,23
43289,68,79,99
41426,64,78,102
45188,7,12,17
42644,72,79,106
38292,55,70,92
47786,69,85,103
48761,68,75,103
45182,58,74,104
48562,6,12,13
35608,68,82,103
46563,70,79,107
49690,69,87,103
40900,79,82,111
47359,355,401,526
46154,77,73,108
43990,64,76,95
35256,55,62,84
47361,351,397,527
38285,354,398,511
49429,71,83,100
47243,68,71,100
45906,71,88,104
49261,65,81,92
37680,69,81,97
39977,61,80,103
37821,71,80,102
39958,333,383,525
37688,65,68,102
40097,332,362,493
49602,65,77,101
40156,60,73,98
41158,74,76,111
37647,65,76,107
44691,322,360,496
48774,65,73,97
48338,52,74,106
39354,71,82,112
49740,8,13,16
45653,60,69,90
46023,81,86,113
45067,65,81,107
42349,65,82,102
35796,67,82,96
35069,64,88,110
42020,65,85,99
44739,63,72,101
44847,354,385,517
47137,81,80,107
46147,66,83,99
47904,74,79,111
37230,65,79,104
48367,64,67,102
38535,57,75,95
41018,77,78,108
41163,61,80,98
46169,79,77,113
48530,13,16,17
40728,70,86,107
45398,9,16,20
41995,342,372,512
40564,309,376,470
48875,10,17,20
44347,11,11,20
39842,68,79,111
42533,59,73,99
37525,75,88,114
39201,330,401,512
49511,69,82,104
42535,58,82,96
41044,65,70,101
37397,74,84,105
39362,339,376,491
47043,64,76,100
42015,11,10,18
47905,8,12,19
46797,63,76,112
48299,10,14,20
39028,61,83,94
43620,76,90,105
34880,75,81,108
44346,64,73,96
39076,70,73,103
38145,66,85,106
48972,69,82,111
46531,11,15,18
49450,68,78,104
42002,66,73,106
38492,73,81,104
44976,318,378,507
46149,59,79,99
36520,13,21,22
48025,78,82,110
43258,7,5,11
47762,7,10,10
48914,14,17,20
46296,13,12,19
47902,65,87,97
39024,61,76,101
43270,77,74,111
44211,71,81,102
47256,76,78,108
37819,333,376,501
44737,61,81,103
45299,80,77,106
38878,58,80,92
34345,77,88,112
35241,69,87,106
41147,71,78,100
44472,74,82,111
46567,305,385,503
41792,321,363,486
40016,66,78,105
45910,61,77,101
38523,77,86,112
47372,67,72,104
47276,8,12,13
49452,8,13,18
48728,8,14,15
41894,73,78,101
38343,59,82,94
49499,61,79,117
43512,70,83,107
47448,65,86,100
46913,58,72,95
41427,72,83,116
40176,73,88,101
38333,347,368,490
37519,9,15,16
43268,62,75,100
46413,64,78,102
40604,67,77,103
44127,66,77,103
42108,358,418,518
40466,69,80,104
46019,66,80,97
40303,65,82,102
40754,79,78,119
44369,67,77,109
44960,66,81,99
41660,68,85,103
49396,10,15,17
45546,67,80,102
37027,64,72,96
44103,70,80,102
47232,67,76,101
40893,60,75,102
41883,55,80,94
49238,62,77,97
47262,328,386,500
40459,71,76,105
45402,67,88,101
44701,68,73,102
48285,69,89,106
40284,57,80,101
49066,69,86,108
48091,81,80,101
39987,5,11,11
47778,66,78,109
39224,70,78,106
40306,65,76,96
41424,65,81,106
43134,11,13,16
44363,54,66,91
45181,80,83,111
37986,61,81,102
47377,73,82,108
40580,66,78,102
49558,13,12,21
37532,332,403,483
40020,64,76,99
41906,71,83,103
48547,78,80,115
42628,66,78,103
41907,78,85,105
47149,54,64,89
47247,61,68,100
49461,74,86,112
47766,62,78,97
48095,78,85,110
42904,59,82,104
47339,63,81,103
48707,61,77,104
36663,71,85,100
40289,76,87,107
49709,13,18,18
46007,6,9,10
39245,79,84,115
42608,67,70,100
44465,64,75,92
49079,11,15,18
41676,71,76,101
43747,64,77,105
41428,58,84,107
36696,58,81,89
41881,312,382,500
41415,77,74,109
39556,52,67,89
40540,357,378,505
49260,67,81,107
39029,65,70,103
49168,9,7,11
40545,326,383,501
46904,10,15,16
42397,66,80,102
49713,6,9,10
42121,65,82,103
36698,81,78,109
46558,72,84,103
46773,76,80,109
44350,337,382,498
39380,11,11,17
49446,14,12,20
38930,64,73,97
43487,343,394,519
42363,60,72,96
45297,67,69,97
40617,61,73,100
45892,70,77,102
47136,67,81,110
49697,66,76,103
37804,72,69,103
42157,59,76,100
41550,70,78,106
41422,61,72,99
38914,64,79,96
36860,8,11,19
43267,59,79,96
40612,67,82,97
44368,72,93,116
44837,65,79,106
49245,75,85,112
38539,63,76,102
38744,69,85,109
49696,73,74,108
39044,75,72,103
44218,12,12,17
40600,73,85,112
38300,72,83,102
45776,61,78,104
47764,72,80,101
38699,320,364,493
41279,69,83,106
37536,71,83,105
38149,74,81,110
44485,70,69,104
45532,318,380,488
40834,73,80,105
38859,73,80,106
49768,10,14,17
46677,61,75,99
49258,66,74,97
44692,78,83,114
37527,76,80,106
38336,64,78,95
47277,81,85,108
44124,13,16,20
48952,68,75,102
48125,10,14,18
39035,57,72,93
46804,61,74,96
48747,4,6,8
44233,64,78,95
48375,10,12,14
43020,75,80,111
43147,63,68,101
46679,60,67,97
49731,80,69,114
47366,70,90,102
40577,86,86,117
40906,67,74,105
43278,69,84,100
39997,65,76,97
46565,318,350,487
49663,11,14,17
39022,79,74,110
49362,78,85,107
48964,76,88,111
43867,71,75,111
41901,67,70,93
44826,58,72,100
47852,68,79,111
49163,9,11,14
47985,68,78,109
49221,79,77,114
38911,61,72,101
34354,335,398,512
49111,317,397,491
48092,71,79,105
46432,372,417,530
41890,63,71,98
37792,66,82,101
41879,59,80,94
45534,71,89,103
43981,68,83,102
39865,67,78,92
37686,72,75,103
46151,75,90,120
44470,58,75,92
41644,56,71,97
47635,65,73,101
40023,65,70,96
42525,78,87,101
43503,78,83,113
44839,60,77,97
34357,64,64,94
44340,75,81,105
42129,85,90,113
46557,72,83,106
49426,78,82,115
38472,349,402,538
37221,69,76,102
44957,60,82,98
43489,342,389,501
41171,88,95,113
42605,350,390,500
44613,65,82,106
48626,72,83,111
37061,68,74,110
40446,78,79,112
44242,66,69,102
39828,74,74,101
44376,67,73,96
45172,71,85,112
42029,78,86,104
40731,68,71,108
41529,52,64,89
43028,63,69,94
43856,59,71,98
44610,72,83,109
37502,65,82,98
40116,335,387,500
49645,66,74,96
38480,63,78,96
47126,62,84,104
43279,62,76,102
41888,71,80,109
41922,73,84,107
49052,12,12,15
37542,68,88,107
35428,68,76,99
37515,80,80,109
39041,74,89,104
49402,74,85,103
39253,72,79,102
44216,71,74,105
37678,60,72,103
41680,67,80,104
47961,73,73,110
39670,77,84,113
39260,61,66,95
43386,74,79,102
39039,71,81,114
45168,63,80,97
47921,70,76,103
48525,10,12,14
49074,62,80,100
38478,68,85,102
40296,73,74,108
43501,64,77,96
36330,59,73,92
44577,78,82,101
49397,67,82,103
49613,371,396,523
40596,67,80,107
47701,67,84,104
38306,73,76,108
41764,75,81,109
47265,325,376,504
49683,65,71,98
43745,79,83,111
42403,78,87,113
48139,78,75,108
41300,75,78,113
39208,73,81,100
38880,351,389,511
38127,79,89,104
43389,57,72,104
41430,63,80,98
42478,341,385,491
48765,52,71,102
43257,79,75,107
49039,79,94,116
49127,11,12,16
34176,15,14,20
44239,72,76,100
43167,66,81,100
43368,79,82,102
38510,70,78,100
47563,67,70,111
42731,75,77,107
44353,73,84,102
37963,67,71,92
45285,65,75,94
42135,81,87,111
41003,82,92,114
48629,68,83,97
39541,68,82,101
46907,342,361,497
47477,69,72,97
42379,71,82,104
40595,71,77,96
46694,68,87,116
40265,61,76,101
36351,66,79,104
40544,351,374,509
43172,63,77,91
38720,84,72,108
45298,74,76,115
42276,62,82,101
49661,11,10,14
46282,65,83,99
39202,63,80,94
40901,67,84,107
39382,71,84,103
49346,13,11,17
39949,331,379,493
40683,69,68,103
49637,10,9,15
37779,78,78,108
47695,57,84,95
38866,70,74,100
42776,80,85,104
38284,335,381,482
35622,296,369,489
42274,61,73,91
47686,66,74,105
49028,75,79,106
49213,12,17,17
49000,63,88,107
41665,70,90,99
47900,67,81,102
39250,360,391,524
44616,70,70,100
37943,67,80,96
46673,67,68,99
40315,70,85,107
42264,74,80,112
44857,70,81,107
36175,12,11,17
48901,7,8,8
38114,82,81,111
36664,67,74,99
47714,76,86,102
39813,50,74,99
47971,74,84,101
46663,61,73,107
