GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
0500000US24021,24021,"Frederick County, Maryland",241373,*****,62,7466,11,7852,413,9210,410,5470,12,3397,31,1459,229,1600,228,4393,306,7207,28,7361,31,6904,465,9212,466,9635,32,9827,30,8060,326,2906,272,3847,302,2285,242,3084,246,2929,230,2181,231,1383,175,1370,188,62,7046,40,7754,433,8494,430,5124,15,2986,111,1388,217,1438,251,4513,301,7222,30,7637,34,7426,446,9159,450,9934,32,9997,23,8471,355,2980,332,3970,307,2507,279,3048,293,3509,262,2684,238,2186,225,2862,277
0500000US24023,24023,"Garrett County, Maryland",29813,*****,70,750,31,904,96,852,94,642,36,404,35,222,78,107,52,598,92,750,4,784,27,892,146,838,149,1021,10,1163,47,1067,114,469,92,644,113,441,84,486,86,745,89,567,86,255,78,164,57,70,704,36,827,79,824,94,543,6,309,15,209,83,167,59,467,79,731,20,801,24,828,125,995,134,1013,14,1202,10,1269,123,304,75,689,101,392,83,496,109,809,95,648,106,333,77,488,105
0500000US24025,24025,"Harford County, Maryland",248966,*****,87,7258,55,7981,522,9058,526,5496,20,3193,53,1641,286,1418,266,4719,318,7713,42,7389,30,7222,455,7993,457,9345,29,10051,30,8627,455,3211,343,4230,395,2389,274,3330,244,3858,291,2518,193,1825,207,1333,200,87,6852,30,8015,477,8025,474,5383,19,2762,95,1407,295,1873,260,4147,338,7409,31,7632,47,7574,402,8783,407,9964,33,10519,33,9475,421,3047,304,4629,337,2701,228,3713,291,4780,293,3064,296,2428,243,2986,304
0500000US24027,24027,"Howard County, Maryland",304115,*****,67,9306,26,11264,522,10982,525,7302,53,3899,11,1559,301,1613,273,5543,359,9283,52,9614,91,9072,464,11270,467,11809,35,12223,92,10495,500,3385,318,4706,384,2478,235,3473,270,4323,288,2554,244,1512,180,1492,241,67,8860,29,9770,413,11252,414,6919,54,3448,13,1218,245,1405,280,5457,328,9005,35,10238,35,10530,541,12047,542,12856,23,12845,28,11205,423,3444,292,4761,420,3061,327,3744,284,4875,373,3027,293,2552,271,2439,242
0500000US24029,24029,"Kent County, Maryland",19923,*****,113,439,82,367,113,528,111,287,42,384,49,300,90,73,46,512,119,487,63,589,100,394,83,374,87,546,61,671,83,618,99,309,77,399,86,246,88,361,88,547,96,412,96,285,87,254,81,113,448,45,555,112,457,120,269,50,579,125,222,69,288,92,345,122,490,66,525,77,426,89,372,80,630,66,742,5,868,104,272,82,453,92,377,99,300,84,687,116,341,75,380,88,515,88
0500000US24031,24031,"Montgomery County, Maryland",1017859,*****,88,34032,51,34085,918,33532,916,20613,49,11770,40,5354,490,5100,420,18558,562,32973,101,34765,87,34857,975,33837,954,35502,72,36415,63,33218,753,12047,540,15854,552,9145,463,11006,450,13871,477,9453,463,6847,432,7259,466,88,32525,47,31632,717,33957,710,19843,48,10833,22,4637,395,4569,481,18224,488,34114,66,36503,82,36949,949,37474,952,39657,66,40434,11,36050,758,14397,718,18323,680,10628,590,13008,594,16874,562,12619,595,10323,526,14193,603
0500000US24033,24033,"Prince George's County, Maryland",892816,*****,92,30537,89,28395,810,28015,812,16982,47,14819,45,7728,522,7802,466,20363,647,34113,58,32286,97,29219,814,30278,818,30279,77,30439,110,26049,780,9123,567,13046,719,7496,467,8744,492,9977,535,6649,292,4059,343,3205,245,92,29211,75,27297,838,26973,826,16391,3,13960,48,6632,503,7716,577,19121,720,33871,84,33281,4,31745,905,32004,881,34696,100,35187,87,31415,722,11436,572,16279,660,9250,440,10974,564,13682,545,8861,453,6598,425,6633,401
0500000US24035,24035,"Queen Anne's County, Maryland",48600,*****,96,1256,57,1430,148,1795,137,1072,69,617,54,248,91,236,87,822,137,1195,68,1339,98,1158,195,1546,178,2066,81,1986,54,1908,181,545,116,983,152,563,115,828,150,1040,140,620,121,456,116,315,91,96,1341,52,1693,158,1440,165,959,55,573,55,344,112,221,89,637,116,1120,64,1260,70,1326,169,1706,164,1924,51,2149,68,1925,207,726,175,891,125,525,97,984,125,1128,148,560,125,525,132,619,125
0500000US24037,24037,"St. Mary's County, Maryland",109614,*****,106,3786,99,4142,278,3655,279,2321,64,1569,118,755,189,821,175,2264,303,3797,122,3646,128,3671,342,3444,366,4219,92,4380,94,3874,287,1112,211,1296,229,1007,211,1082,205,1673,238,876,147,672,143,600,151,106,3636,63,3765,348,3934,341,2344,71,1567,162,809,162,971,234,1830,263,3847,89,3477,35,3032,355,4159,354,4323,85,4223,29,3513,280,1427,219,1465,256,928,148,1389,206,1515,170,1222,166,728,170,848,143
0500000US24039,24039,"Somerset County, Maryland",25980,*****,120,605,41,637,121,604,132,358,62,629,212,326,86,436,115,1022,149,1247,282,1005,146,1018,143,821,211,941,99,1042,111,886,146,280,97,493,113,268,70,462,120,388,83,403,73,188,71,91,41,120,654,63,491,115,620,120,382,89,993,250,314,93,485,226,517,136,512,164,541,10,618,121,610,109,583,71,842,44,833,115,255,78,499,114,269,74,326,79,505,80,350,90,280,76,351,86
0500000US24041,24041,"Talbot County, Maryland",37799,*****,135,791,83,989,161,1035,162,622,56,383,87,117,47,167,63,628,116,973,126,752,109,688,127,1202,156,1063,15,1369,69,1442,155,398,101,776,122,567,132,645,139,1274,152,881,110,499,96,550,129,135,978,85,1048,131,1025,138,611,66,330,62,72,57,235,111,595,88,925,104,907,86,1006,150,1112,143,1276,95,1436,24,1642,154,509,107,981,155,606,111,920,120,1320,129,930,146,689,118,835,154
0500000US24043,24043,"Washington County, Maryland",149270,*****,80,4494,22,4894,322,4734,317,2962,68,1787,58,1002,221,1108,194,3082,250,5373,72,5086,50,4506,326,5895,318,5926,49,5804,43,5123,316,2064,254,2344,223,1416,173,1963,207,2425,218,1704,191,1453,186,913,155,80,4248,10,4604,286,4529,284,2942,75,1433,82,851,220,737,221,2558,239,4501,62,4297,25,4115,276,5027,277,5478,53,5443,47,4848,316,1795,241,2833,256,1712,214,2087,212,2823,235,2330,207,1802,209,2219,216
0500000US24045,24045,"Wicomico County, Maryland",101182,*****,125,3194,63,3136,367,3075,367,1854,68,2218,69,1017,314,1160,238,2904,302,3177,83,2825,70,2528,284,2876,287,3152,68,3150,62,3120,288,1201,212,1513,224,1051,182,1151,194,1578,196,1003,146,765,154,551,131,125,2937,63,3089,402,3151,393,1807,78,2814,112,1445,318,1534,299,2709,468,3062,128,2945,91,3099,292,2892,293,3239,82,3586,97,3448,312,1298,188,1906,250,993,165,1427,186,1852,185,1350,216,1049,197,1351,165
0500000US24047,24047,"Worcester County, Maryland",51519,*****,143,1131,79,1544,234,1217,211,864,68,488,61,343,140,307,145,755,172,1377,89,1179,88,1282,166,1379,147,1578,80,1954,36,1860,192,707,136,1271,170,797,143,1095,149,1472,158,1126,151,845,139,447,94,143,1130,77,1163,207,1390,204,776,73,543,119,329,124,242,110,890,141,1107,91,1024,92,1241,238,1477,218,1882,78,2070,76,2191,199,882,149,1196,169,899,148,1171,156,1789,173,1311,149,837,124,961,114
0500000US24510,24510,"Baltimore city, Maryland",622454,*****,142,21210,20,18695,800,16986,800,10065,115,8846,142,5069,467,5423,415,14299,586,28955,76,24463,55,18536,748,17609,760,18965,36,20435,59,18857,573,6691,474,8533,540,5093,364,5825,372,7062,356,5075,324,3841,304,2833,296,142,20337,44,17798,697,16893,698,9772,4,9659,128,5923,469,5638,433,15685,588,32180,20,26893,117,19858,686,19020,688,20455,100,22991,94,20740,624,8497,476,11417,558,6811,445,7267,427,10016,487,8300,404,6357,345,6581,366
