,hhid,indid,APER,gender,age,educ,vehicles,income,school,employment,x,y
58,1080002,108000201,2,0,18,11,2,16000,1,3,472603.48853900004,145492.35723199998
59,1080000,108000002,2,1,16,11,2,0,1,3,472483.673163,144533.654647
60,1080001,108000102,2,1,16,11,2,0,1,3,461101.212491,143694.78988499998
61,1080002,108000202,2,1,16,11,2,0,1,3,472603.48853900004,145492.35723199998
62,1100000,110000001,3,1,8,6,1,60000,1,1,456907.674348,136504.520495
63,1100000,110000002,3,0,10,6,1,53000,1,1,456907.674348,136504.520495
64,1100000,110000003,3,1,3,2,1,0,2,0,456907.674348,136504.520495
65,1220000,122000001,1,0,11,5,1,10600,1,1,469368.4734,139620.303897
66,1220001,122000101,1,0,11,5,1,10600,1,1,472603.48853900004,146331.221994
67,1220002,122000201,1,0,11,5,1,10600,1,1,457147.305099,139140.952605
68,1220003,122000301,1,0,11,5,1,10600,1,1,462059.735495,145492.35723199998
69,1220004,122000401,1,0,11,5,1,10600,1,1,485543.549093,169819.435333
70,1220005,122000501,1,0,11,5,1,10600,1,1,478714.07268900005,144293.979001
71,1220006,122000601,1,0,11,5,1,10600,1,1,460621.95098900003,139260.790428
72,1220007,122000701,1,0,11,5,1,10600,1,1,473322.380792,145851.870702
73,1220008,122000801,1,0,11,5,1,10600,1,1,462299.366246,141657.546891
74,1220009,122000901,1,0,11,5,1,10600,1,1,459663.427985,144893.16811600002
75,1220010,122001001,1,0,11,5,1,10600,1,1,477635.73431,153281.815737
76,1220011,122001101,1,0,11,5,1,10600,1,1,460262.504862,149806.518866
77,1220012,122001201,1,0,11,5,1,10600,1,1,471405.334784,139620.303897
78,1220013,122001301,1,0,11,5,1,10600,1,1,473082.75004099996,145492.35723199998
79,1220014,122001401,1,0,11,5,1,10600,1,1,459903.058736,140698.84430599998
80,1220015,122001501,1,0,11,5,1,10600,1,1,456668.043597,136145.007026
81,1220016,122001601,1,0,11,5,1,10600,1,1,460861.58173999994,144773.330293
82,1220017,122001701,1,0,11,5,1,10600,1,1,477036.657432,153281.815737
83,1220018,122001801,1,0,11,5,1,10600,1,1,473202.56541599997,143694.78988499998
84,1220019,122001901,1,0,11,5,1,10600,1,1,485064.287591,169939.27315599998
85,1220020,122002001,1,0,11,5,1,10600,1,1,459663.427985,144174.141177
86,1230000,123000001,1,0,10,10,1,94250,1,1,472004.411661,141657.546891
87,1230001,123000101,1,0,10,10,1,94250,1,1,456548.228222,144293.979001
88,1240000,124000001,2,0,19,6,3,0,1,3,472483.673163,142975.762946
89,1240000,124000002,2,1,19,6,3,0,1,3,472483.673163,142975.762946
90,1260000,126000002,2,0,13,2,2,0,1,2,477276.288183,143455.114238
91,1260001,126000102,2,0,13,2,2,0,1,2,471045.888657,144533.654647
92,1260002,126000202,2,0,13,2,2,0,1,2,455469.88984200003,134587.115325
93,1260003,126000302,2,0,13,2,2,0,1,2,488778.564231,162749.00376700002
94,1260004,126000402,2,0,13,2,2,0,1,2,471405.334784,139260.790428
95,1260005,126000502,2,0,13,2,2,0,1,2,476437.580555,153401.65356099998
96,1260006,126000602,2,0,13,2,2,0,1,2,480990.564824,157835.653017
97,1260007,126000702,2,0,13,2,2,0,1,2,485543.549093,155319.058731
98,1260008,126000802,2,0,13,2,2,0,1,2,472363.857788,145971.708525
99,1260009,126000902,2,0,13,2,2,0,1,2,489976.71798599995,175092.299552
100,1260010,126001002,2,0,13,2,2,0,1,2,476557.39593,153641.329207
101,1260011,126001102,2,0,13,2,2,0,1,2,480151.857195,160711.76077300002
102,1260012,126001202,2,0,13,2,2,0,1,2,487820.04122700007,153521.491384
103,1260013,126001302,2,0,13,2,2,0,1,2,482308.533954,155079.38308499998
104,1260014,126001402,2,0,13,2,2,0,1,2,456068.96671999997,141298.033422
105,1260015,126001502,2,0,13,2,2,0,1,2,472843.11928999994,143335.276415
106,1260016,126001602,2,0,13,2,2,0,1,2,468889.211898,143574.952062
107,1260017,126001702,2,0,13,2,2,0,1,2,488059.67197799997,170778.137918
108,1260018,126001802,2,0,13,2,2,0,1,2,482907.610832,156757.112609
109,1260019,126001902,2,0,13,2,2,0,1,2,469967.55027799995,144533.654647
110,1260020,126002002,2,0,13,2,2,0,1,2,455110.443716,137822.73655
111,1260021,126002102,2,0,13,2,2,0,1,2,457027.489724,140219.493013
112,1260022,126002202,2,0,13,2,2,0,1,2,485783.17984399997,161430.787712
113,1260023,126002302,2,0,13,2,2,0,1,2,462658.812372,144413.816824
114,1260024,126002402,2,0,13,2,2,0,1,2,481709.45707700006,170897.975742
115,1260025,126002502,2,0,13,2,2,0,1,2,455709.52059300005,142136.898184
116,1260026,126002602,2,0,13,2,2,0,1,2,456308.597471,138661.60131199998
117,1260027,126002702,2,0,13,2,2,0,1,2,456668.043597,139260.790428
118,1260028,126002802,2,0,13,2,2,0,1,2,470806.257906,138541.763489
119,1260029,126002902,2,0,13,2,2,0,1,2,494290.071504,175571.650845
120,1260030,126003002,2,0,13,2,2,0,1,2,479792.41106899997,152203.275329
121,1260031,126003102,2,0,13,2,2,0,1,2,479792.41106899997,152083.437506
122,1260032,126003202,2,0,13,2,2,0,1,2,460741.76636400004,138182.25002
123,1260033,126003302,2,0,13,2,2,0,1,2,457986.012728,133149.06144700001
124,1260034,126003402,2,0,13,2,2,0,1,2,481829.27245200006,153641.329207
125,1260035,126003502,2,0,13,2,2,0,1,2,487820.04122700007,168261.543632
126,1260036,126003602,2,0,13,2,2,0,1,2,477755.54968500003,155079.38308499998
127,1260037,126003702,2,0,13,2,2,0,1,2,476317.765179,153161.97791400002
128,1260038,126003802,2,0,13,2,2,0,1,2,457626.566601,135425.98008699997
129,1260039,126003902,2,0,13,2,2,0,1,2,481110.38019899995,156397.599139
130,1260040,126004002,2,0,13,2,2,0,1,2,460621.95098900003,139859.979544
131,1260041,126004102,2,0,13,2,2,0,1,2,483626.50308500003,169939.27315599998
132,1260042,126004202,2,0,13,2,2,0,1,2,483985.94921099994,143694.78988499998
133,1260043,126004302,2,0,13,2,2,0,1,2,469967.55027799995,137942.574373
134,1260044,126004402,2,0,13,2,2,0,1,2,477635.73431,154839.707438
135,1260045,126004502,2,0,13,2,2,0,1,2,470566.627155,137942.574373
136,1260046,126004602,2,0,13,2,2,0,1,2,471644.965535,138541.763489
137,1260047,126004702,2,0,13,2,2,0,1,2,463497.520001,145252.681586
138,1260048,126004802,2,0,13,2,2,0,1,2,460981.39711499994,148727.978457
139,1260049,126004902,2,0,13,2,2,0,1,2,482068.90320299997,144893.16811600002
140,1260050,126005002,2,0,13,2,2,0,1,2,498843.05577299994,169579.75968699998
141,1260051,126005102,2,0,13,2,2,0,1,2,455469.88984200003,141058.357775
142,1260052,126005202,2,0,13,2,2,0,1,2,459543.612609,146331.221994
143,1260053,126005302,2,0,13,2,2,0,1,2,461101.212491,140698.84430599998
144,1260054,126005402,2,0,13,2,2,0,1,2,490336.16411300004,156517.43696300001
145,1260055,126005502,2,0,13,2,2,0,1,2,456668.043597,144054.303354
146,1260056,126005602,2,0,13,2,2,0,1,2,480750.934073,158674.517779
147,1260057,126005702,2,0,13,2,2,0,1,2,480151.857195,155199.220908
148,1260058,126005802,2,0,13,2,2,0,1,2,473442.196167,142616.249476
149,1260059,126005902,2,0,13,2,2,0,1,2,471045.888657,143095.600769
150,1260060,126006002,2,0,13,2,2,0,1,2,472843.11928999994,143455.114238
151,1260061,126006102,2,0,13,2,2,0,1,2,469847.73490200005,143574.952062
152,1260062,126006202,2,0,13,2,2,0,1,2,456428.412846,136624.358318
153,1260063,126006302,2,0,13,2,2,0,1,2,482787.795456,160472.085127
154,1260064,126006402,2,0,13,2,2,0,1,2,474041.273045,154120.680499
155,1260065,126006502,2,0,13,2,2,0,1,2,476078.13442799996,153281.815737
156,1260066,126006602,2,0,13,2,2,0,1,2,469368.4734,137343.385257
157,1260067,126006702,2,0,13,2,2,0,1,2,455829.33596899995,136145.007026
158,1260068,126006802,2,0,13,2,2,0,1,2,490935.24098999996,173055.05655799998
159,1260069,126006902,2,0,13,2,2,0,1,2,471644.965535,139380.628251
160,1260070,126007002,2,0,13,2,2,0,1,2,457027.489724,144413.816824
161,1260071,126007102,2,0,13,2,2,0,1,2,490336.16411300004,156038.08567
162,1260072,126007202,2,0,13,2,2,0,1,2,477635.73431,154959.545262
163,1260073,126007302,2,0,13,2,2,0,1,2,488419.118105,164546.57111400002
164,1260074,126007402,2,0,13,2,2,0,1,2,468889.211898,144413.816824
165,1260075,126007502,2,0,13,2,2,0,1,2,492612.65624700004,174972.461729
166,1260076,126007602,2,0,13,2,2,0,1,2,477755.54968500003,143694.78988499998
167,1260077,126007702,2,0,13,2,2,0,1,2,483267.056958,171736.840504
168,1260078,126007802,2,0,13,2,2,0,1,2,503755.486169,165984.624992
169,1260079,126007902,2,0,13,2,2,0,1,2,459663.427985,148727.978457
170,1260080,126008002,2,0,13,2,2,0,1,2,470207.18102899997,143215.43859200002
171,1260000,126000001,2,1,20,2,2,0,1,3,477276.288183,143455.114238
172,1260001,126000101,2,1,20,2,2,0,1,3,471045.888657,144533.654647
173,1260002,126000201,2,1,20,2,2,0,1,3,455469.88984200003,134587.115325
174,1260003,126000301,2,1,20,2,2,0,1,3,488778.564231,162749.00376700002
175,1260004,126000401,2,1,20,2,2,0,1,3,471405.334784,139260.790428
176,1260005,126000501,2,1,20,2,2,0,1,3,476437.580555,153401.65356099998
177,1260006,126000601,2,1,20,2,2,0,1,3,480990.564824,157835.653017
178,1260007,126000701,2,1,20,2,2,0,1,3,485543.549093,155319.058731
179,1260008,126000801,2,1,20,2,2,0,1,3,472363.857788,145971.708525
180,1260009,126000901,2,1,20,2,2,0,1,3,489976.71798599995,175092.299552
181,1260010,126001001,2,1,20,2,2,0,1,3,476557.39593,153641.329207
182,1260011,126001101,2,1,20,2,2,0,1,3,480151.857195,160711.76077300002
183,1260012,126001201,2,1,20,2,2,0,1,3,487820.04122700007,153521.491384
184,1260013,126001301,2,1,20,2,2,0,1,3,482308.533954,155079.38308499998
185,1260014,126001401,2,1,20,2,2,0,1,3,456068.96671999997,141298.033422
186,1260015,126001501,2,1,20,2,2,0,1,3,472843.11928999994,143335.276415
187,1260016,126001601,2,1,20,2,2,0,1,3,468889.211898,143574.952062
188,1260017,126001701,2,1,20,2,2,0,1,3,488059.67197799997,170778.137918
189,1260018,126001801,2,1,20,2,2,0,1,3,482907.610832,156757.112609
190,1260019,126001901,2,1,20,2,2,0,1,3,469967.55027799995,144533.654647
191,1260020,126002001,2,1,20,2,2,0,1,3,455110.443716,137822.73655
192,1260021,126002101,2,1,20,2,2,0,1,3,457027.489724,140219.493013
193,1260022,126002201,2,1,20,2,2,0,1,3,485783.17984399997,161430.787712
194,1260023,126002301,2,1,20,2,2,0,1,3,462658.812372,144413.816824
195,1260024,126002401,2,1,20,2,2,0,1,3,481709.45707700006,170897.975742
196,1260025,126002501,2,1,20,2,2,0,1,3,455709.52059300005,142136.898184
197,1260026,126002601,2,1,20,2,2,0,1,3,456308.597471,138661.60131199998
198,1260027,126002701,2,1,20,2,2,0,1,3,456668.043597,139260.790428
199,1260028,126002801,2,1,20,2,2,0,1,3,470806.257906,138541.763489
200,1260029,126002901,2,1,20,2,2,0,1,3,494290.071504,175571.650845
201,1260030,126003001,2,1,20,2,2,0,1,3,479792.41106899997,152203.275329
202,1260031,126003101,2,1,20,2,2,0,1,3,479792.41106899997,152083.437506
203,1260032,126003201,2,1,20,2,2,0,1,3,460741.76636400004,138182.25002
204,1260033,126003301,2,1,20,2,2,0,1,3,457986.012728,133149.06144700001
205,1260034,126003401,2,1,20,2,2,0,1,3,481829.27245200006,153641.329207
206,1260035,126003501,2,1,20,2,2,0,1,3,487820.04122700007,168261.543632
207,1260036,126003601,2,1,20,2,2,0,1,3,477755.54968500003,155079.38308499998
208,1260037,126003701,2,1,20,2,2,0,1,3,476317.765179,153161.97791400002
209,1260038,126003801,2,1,20,2,2,0,1,3,457626.566601,135425.98008699997
210,1260039,126003901,2,1,20,2,2,0,1,3,481110.38019899995,156397.599139
211,1260040,126004001,2,1,20,2,2,0,1,3,460621.95098900003,139859.979544
212,1260041,126004101,2,1,20,2,2,0,1,3,483626.50308500003,169939.27315599998
213,1260042,126004201,2,1,20,2,2,0,1,3,483985.94921099994,143694.78988499998
214,1260043,126004301,2,1,20,2,2,0,1,3,469967.55027799995,137942.574373
215,1260044,126004401,2,1,20,2,2,0,1,3,477635.73431,154839.707438
216,1260045,126004501,2,1,20,2,2,0,1,3,470566.627155,137942.574373
217,1260046,126004601,2,1,20,2,2,0,1,3,471644.965535,138541.763489
218,1260047,126004701,2,1,20,2,2,0,1,3,463497.520001,145252.681586
219,1260048,126004801,2,1,20,2,2,0,1,3,460981.39711499994,148727.978457
220,1260049,126004901,2,1,20,2,2,0,1,3,482068.90320299997,144893.16811600002
221,1260050,126005001,2,1,20,2,2,0,1,3,498843.05577299994,169579.75968699998
222,1260051,126005101,2,1,20,2,2,0,1,3,455469.88984200003,141058.357775
223,1260052,126005201,2,1,20,2,2,0,1,3,459543.612609,146331.221994
224,1260053,126005301,2,1,20,2,2,0,1,3,461101.212491,140698.84430599998
225,1260054,126005401,2,1,20,2,2,0,1,3,490336.16411300004,156517.43696300001
226,1260055,126005501,2,1,20,2,2,0,1,3,456668.043597,144054.303354
227,1260056,126005601,2,1,20,2,2,0,1,3,480750.934073,158674.517779
228,1260057,126005701,2,1,20,2,2,0,1,3,480151.857195,155199.220908
229,1260058,126005801,2,1,20,2,2,0,1,3,473442.196167,142616.249476
230,1260059,126005901,2,1,20,2,2,0,1,3,471045.888657,143095.600769
231,1260060,126006001,2,1,20,2,2,0,1,3,472843.11928999994,143455.114238
232,1260061,126006101,2,1,20,2,2,0,1,3,469847.73490200005,143574.952062
233,1260062,126006201,2,1,20,2,2,0,1,3,456428.412846,136624.358318
234,1260063,126006301,2,1,20,2,2,0,1,3,482787.795456,160472.085127
235,1260064,126006401,2,1,20,2,2,0,1,3,474041.273045,154120.680499
236,1260065,126006501,2,1,20,2,2,0,1,3,476078.13442799996,153281.815737
237,1260066,126006601,2,1,20,2,2,0,1,3,469368.4734,137343.385257
238,1260067,126006701,2,1,20,2,2,0,1,3,455829.33596899995,136145.007026
239,1260068,126006801,2,1,20,2,2,0,1,3,490935.24098999996,173055.05655799998
240,1260069,126006901,2,1,20,2,2,0,1,3,471644.965535,139380.628251
241,1260070,126007001,2,1,20,2,2,0,1,3,457027.489724,144413.816824
242,1260071,126007101,2,1,20,2,2,0,1,3,490336.16411300004,156038.08567
243,1260072,126007201,2,1,20,2,2,0,1,3,477635.73431,154959.545262
244,1260073,126007301,2,1,20,2,2,0,1,3,488419.118105,164546.57111400002
245,1260074,126007401,2,1,20,2,2,0,1,3,468889.211898,144413.816824
246,1260075,126007501,2,1,20,2,2,0,1,3,492612.65624700004,174972.461729
247,1260076,126007601,2,1,20,2,2,0,1,3,477755.54968500003,143694.78988499998
248,1260077,126007701,2,1,20,2,2,0,1,3,483267.056958,171736.840504
249,1260078,126007801,2,1,20,2,2,0,1,3,503755.486169,165984.624992
250,1260079,126007901,2,1,20,2,2,0,1,3,459663.427985,148727.978457
251,1260080,126008001,2,1,20,2,2,0,1,3,470207.18102899997,143215.43859200002
252,1450000,145000001,1,1,11,11,2,105000,1,1,484704.84146400006,151484.24839000002
253,1450001,145000101,1,1,11,11,2,105000,1,1,504474.37842200004,173534.407851
254,1450002,145000201,1,1,11,11,2,105000,1,1,457267.120475,139740.141721
255,1450003,145000301,1,1,11,11,2,105000,1,1,464096.59687799995,139740.141721
256,1450004,145000401,1,1,11,11,2,105000,1,1,454151.920712,131591.169746
257,1450005,145000501,1,1,11,11,2,105000,1,1,478234.811187,148248.627165
258,1450006,145000601,1,1,11,11,2,105000,1,1,476078.13442799996,153281.815737
259,1450007,145000701,1,1,11,11,2,105000,1,1,472962.93466499995,147170.086756
260,1450008,145000801,1,1,11,11,2,105000,1,1,455230.25909099996,138901.276958
261,1450009,145000901,1,1,11,11,2,105000,1,1,480032.04182,155319.058731
262,1450010,145001001,1,1,11,11,2,105000,1,1,503755.486169,165505.273699
263,1560000,156000001,2,1,9,11,2,122000,1,1,473921.45766899997,154000.842676
264,1560001,156000101,2,1,9,11,2,122000,1,1,456668.043597,139021.114782
265,1560002,156000201,2,1,9,11,2,122000,1,1,494290.071504,175451.81302200002
266,1560003,156000301,2,1,9,11,2,122000,1,1,484225.57996199996,154839.707438
267,1560004,156000401,2,1,9,11,2,122000,1,1,455350.074467,139500.466074
268,1560005,156000501,2,1,9,11,2,122000,1,1,473082.75004099996,148008.95151800002
269,1560006,156000601,2,1,9,11,2,122000,1,1,456907.674348,136384.682672
270,1560000,156000002,2,0,10,11,2,90000,1,1,473921.45766899997,154000.842676
271,1560001,156000102,2,0,10,11,2,90000,1,1,456668.043597,139021.114782
272,1560002,156000202,2,0,10,11,2,90000,1,1,494290.071504,175451.81302200002
273,1560003,156000302,2,0,10,11,2,90000,1,1,484225.57996199996,154839.707438
274,1560004,156000402,2,0,10,11,2,90000,1,1,455350.074467,139500.466074
275,1560005,156000502,2,0,10,11,2,90000,1,1,473082.75004099996,148008.95151800002
276,1560006,156000602,2,0,10,11,2,90000,1,1,456907.674348,136384.682672
277,1620000,162000001,1,0,22,6,0,0,1,3,455350.074467,140698.84430599998
278,1680000,168000001,2,0,12,11,2,63000,1,1,494290.071504,154839.707438
279,1680001,168000101,2,0,12,11,2,63000,1,1,490336.16411300004,142017.06036099998
280,1680002,168000201,2,0,12,11,2,63000,1,1,498363.794271,177369.218192
281,1680003,168000301,2,0,12,11,2,63000,1,1,481110.38019899995,170298.786626
282,1680004,168000401,2,0,12,11,2,63000,1,1,455110.443716,138541.763489
283,1680005,168000501,2,0,12,11,2,63000,1,1,484105.764587,155319.058731
284,1680006,168000601,2,0,12,11,2,63000,1,1,457746.38197700004,145132.843763
285,1680007,168000701,2,0,12,11,2,63000,1,1,469488.28877600003,136864.033965
286,1680000,168000002,2,1,11,11,2,97000,1,1,494290.071504,154839.707438
287,1680001,168000102,2,1,11,11,2,97000,1,1,490336.16411300004,142017.06036099998
288,1680002,168000202,2,1,11,11,2,97000,1,1,498363.794271,177369.218192
289,1680003,168000302,2,1,11,11,2,97000,1,1,481110.38019899995,170298.786626
290,1680004,168000402,2,1,11,11,2,97000,1,1,455110.443716,138541.763489
291,1680005,168000502,2,1,11,11,2,97000,1,1,484105.764587,155319.058731
292,1680006,168000602,2,1,11,11,2,97000,1,1,457746.38197700004,145132.843763
293,1680007,168000702,2,1,11,11,2,97000,1,1,469488.28877600003,136864.033965
294,1730000,173000001,1,1,12,8,1,60000,1,1,484105.764587,173414.570028
295,1730001,173000101,1,1,12,8,1,60000,1,1,473801.64229399996,154719.869615
296,1730002,173000201,1,1,12,8,1,60000,1,1,504354.563046,165265.598053
297,1730003,173000301,1,1,12,8,1,60000,1,1,473921.45766899997,151364.410567
298,1790000,179000001,1,0,9,7,0,1000,1,3,469488.28877600003,138062.412196
299,1910000,191000001,2,1,13,10,1,50000,1,1,455949.15134399995,135905.33138
300,1910000,191000002,2,1,0,1,1,0,1,0,455949.15134399995,135905.33138
301,1980000,198000001,1,1,2,2,0,0,2,0,457506.751226,134946.62879400002
302,1980001,198000101,1,1,2,2,0,0,2,0,460861.58173999994,148128.789342
303,1980002,198000201,1,1,2,2,0,0,2,0,487939.85660299996,170897.975742
304,1980003,198000301,1,1,2,2,0,0,2,0,485303.918342,170059.110979
305,1980004,198000401,1,1,2,2,0,0,2,0,461939.92011899996,146451.059817
306,1980005,198000501,1,1,2,2,0,0,2,0,483506.687709,171617.00268099998
307,1980006,198000601,1,1,2,2,0,0,2,0,483985.94921099994,171856.678327
308,1980007,198000701,1,1,2,2,0,0,2,0,480750.934073,152802.464445
309,1980008,198000801,1,1,2,2,0,0,2,0,482787.795456,156517.43696300001
310,2210000,221000001,2,1,18,11,2,8000,1,1,457267.120475,135066.466617
311,2210001,221000101,2,1,18,11,2,8000,1,1,462179.55087,146570.89764100002
312,2210002,221000201,2,1,18,11,2,8000,1,1,483746.31846000004,171736.840504
313,2210000,221000002,2,0,10,11,2,900,1,2,457267.120475,135066.466617
314,2210001,221000102,2,0,10,11,2,900,1,2,462179.55087,146570.89764100002
315,2210002,221000202,2,0,10,11,2,900,1,2,483746.31846000004,171736.840504
316,2230000,223000001,1,1,8,7,1,40000,2,1,461221.02786599996,141298.033422
317,2270000,227000003,3,1,8,7,2,0,2,3,496446.748263,152083.437506
318,2270000,227000002,3,1,13,8,2,12000,1,1,496446.748263,152083.437506
319,2270000,227000001,3,0,14,8,2,100000,1,1,496446.748263,152083.437506
320,2760000,276000001,1,1,18,6,1,0,1,3,482548.164705,154600.031792
321,2920000,292000001,2,1,18,11,2,0,1,3,482787.795456,154959.545262
322,2920001,292000101,2,1,18,11,2,0,1,3,476916.842057,154120.680499
323,2920002,292000201,2,1,18,11,2,0,1,3,476197.949804,153521.491384
324,2920000,292000002,2,0,18,11,2,0,1,3,482787.795456,154959.545262
325,2920001,292000102,2,0,18,11,2,0,1,3,476916.842057,154120.680499
326,2920002,292000202,2,0,18,11,2,0,1,3,476197.949804,153521.491384
327,3010000,301000001,2,0,14,10,2,115000,1,1,476677.21130600007,143694.78988499998
328,3010000,301000002,2,1,12,10,2,80000,1,1,476677.21130600007,143694.78988499998
329,3110000,311000001,1,1,14,8,0,0,1,2,477276.288183,143934.465531
330,3120000,312000001,2,0,20,6,2,0,1,3,456428.412846,139380.628251
331,3120001,312000101,2,0,20,6,2,0,1,3,455350.074467,134706.953148
332,3120000,312000002,2,1,18,6,2,30100,1,1,456428.412846,139380.628251
333,3120001,312000102,2,1,18,6,2,30100,1,1,455350.074467,134706.953148
334,3490000,349000001,2,0,20,7,2,0,1,3,484465.21071300004,163947.381998
335,3490000,349000002,2,1,20,7,2,0,1,3,484465.21071300004,163947.381998
336,3840000,384000001,4,0,9,6,2,38000,1,1,468409.950396,143455.114238
337,3840001,384000101,4,0,9,6,2,38000,1,1,474640.349922,151244.572744
338,3840002,384000201,4,0,9,6,2,38000,1,1,457027.489724,144413.816824
339,3840003,384000301,4,0,9,6,2,38000,1,1,479432.964942,149447.005396
340,3840004,384000401,4,0,9,6,2,38000,1,1,477755.54968500003,153161.97791400002
341,3840005,384000501,4,0,9,6,2,38000,1,1,495008.963757,164786.246761
342,3840000,384000002,4,1,10,6,2,25000,1,1,468409.950396,143455.114238
343,3840001,384000102,4,1,10,6,2,25000,1,1,474640.349922,151244.572744
344,3840002,384000202,4,1,10,6,2,25000,1,1,457027.489724,144413.816824
345,3840003,384000302,4,1,10,6,2,25000,1,1,479432.964942,149447.005396
346,3840004,384000402,4,1,10,6,2,25000,1,1,477755.54968500003,153161.97791400002
347,3840005,384000502,4,1,10,6,2,25000,1,1,495008.963757,164786.246761
348,3840000,384000003,4,1,14,6,2,28000,1,1,468409.950396,143455.114238
349,3840001,384000103,4,1,14,6,2,28000,1,1,474640.349922,151244.572744
350,3840002,384000203,4,1,14,6,2,28000,1,1,457027.489724,144413.816824
351,3840003,384000303,4,1,14,6,2,28000,1,1,479432.964942,149447.005396
352,3840004,384000403,4,1,14,6,2,28000,1,1,477755.54968500003,153161.97791400002
